Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,11.11,8.47,19.07,18.53
Expenses,10.15,6.81,17.76,16.49
  └─ Material Cost %,62.83%,73.67%,64.60%,46.95%
  └─ Employee Cost %,7.11%,2.60%,23.39%,31.03%
Operating Profit,0.96,1.66,1.31,2.04
OPM %,8.64%,19.60%,6.87%,11.01%
Other Income,0.00,0.02,0.10,0.11
  └─ Other income normal,0.00,0.02,0.10,0.11
Interest,0.19,0.31,0.09,0.46
Depreciation,0.09,0.04,1.16,0.83
Profit before tax,0.68,1.33,0.16,0.86
Tax %,25.00%,24.81%,31.25%,25.58%
Net Profit,0.51,1.00,0.11,0.64
  └─ Profit excl Excep,0.51,1.00,0.11,0.64
  └─ Profit for PE,0.51,1.00,0.11,0.64
  └─ Profit for EPS,0.51,1.00,0.11,0.64
EPS in Rs,1.09,2.13,0.08,0.49
Raw PDF,,,,
