Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,414,608,414,418,418,694,438,493,612,981,901,1019
  └─ YOY Sales Growth %,,,,,1%,14%,6%,18%,47%,42%,106%,106%
Expenses,38,66,94,98,74,140,125,155,156,293,346,414
  └─ Employee Cost %,2.82%,5.12%,8.19%,9.41%,9.32%,9.76%,12.21%,11.10%,10.40%,9.64%,11.09%,12.67%
Operating Profit,376,542,320,320,344,553,313,338,457,688,555,605
OPM %,91%,89%,77%,77%,82%,80%,71%,69%,75%,70%,62%,59%
Other Income,67,218,67,78,62,226,70,71,67,238,36,40
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00
  └─ Other income normal,66.98,217.82,66.83,77.69,61.92,226.06,69.62,71.23,38.45,238.18,36.11,40.01
Interest,10,0,0,0,0,0,0,8,99,136,212,298
Depreciation,5,5,5,5,5,6,6,6,6,8,8,8
Profit before tax,427,754,381,393,400,773,377,396,419,783,371,339
Tax %,22%,11%,23%,21%,22%,11%,22%,20%,23%,11%,28%,20%
Net Profit,332,668,294,311,313,689,295,316,325,695,269,272
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,22,0,0,0
  └─ Profit excl Excep,332,668,294,311,313,689,295,316,303,695,269,272
  └─ Profit for PE,332,668,294,311,313,689,295,316,303,695,269,272
  └─ Profit for EPS,332,668,294,311,313,689,295,316,325,695,269,272
  └─ YOY Profit Growth %,,,,,-6%,3%,0%,2%,-3%,1%,-9%,-14%
EPS in Rs,,1.05,0.46,0.49,0.49,1.08,0.46,0.50,0.51,1.09,0.42,0.43
Raw PDF,,,,,,,,,,,,
