Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3428,3333,2941,3315,3606,3612,3634,3756,4139,4419,4467,4421,5240
  └─ YOY Sales Growth %,19.99%,3.41%,-4.68%,13.47%,5.20%,8.36%,23.58%,13.30%,14.78%,22.35%,22.93%,17.71%,26.60%
Expenses,3001,2919,2634,2908,3165,3124,3225,3301,3624,3839,3928,3934,4513
  └─ Material Cost %,71%,72%,71%,72%,72%,71%,73%,72%,72%,72%,73%,73%,70%
  └─ Employee Cost %,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
Operating Profit,427,414,307,407,442,488,409,456,515,580,539,487,727
OPM %,12%,12%,10%,12%,12%,14%,11%,12%,12%,13%,12%,11%,14%
Other Income,23,30,38,40,51,51,72,51,54,54,69,52,29
  └─ Exceptional items,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,23.35,29.82,38.26,39.95,51.07,50.91,72.38,51.21,54.26,53.64,69.14,51.69,29.24
Interest,39,37,35,40,22,29,30,41,44,40,50,51,51
Depreciation,137,158,177,182,139,136,144,203,229,205,211,218,249
Profit before tax,275,249,133,226,332,374,307,263,297,389,347,270,456
Tax %,8%,19%,-261%,44%,34%,26%,30%,25%,26%,25%,25%,27%,32%
Net Profit,254,202,482,126,220,276,216,197,220,291,260,198,312
  └─ Minority share,2,2,2,2,-3,0,-0,0,-1,1,1,-0,8
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,254,202,482,126,220,276,216,197,220,291,260,198,312
  └─ Profit for PE,256,204,484,127,217,276,216,198,219,292,262,197,319
  └─ Profit for EPS,256,204,484,127,217,276,216,198,219,292,262,197,319
  └─ YOY Profit Growth %,-41%,-51%,324%,89%,-15%,35%,-55%,55%,1%,6%,21%,-0%,46%
EPS in Rs,10.05,8.00,18.98,4.99,7.76,9.89,7.72,7.08,7.84,10.47,9.38,7.07,11.43
Raw PDF,,,,,,,,,,,,,
