Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,519,439,463,448,550,525,553,522,648,542,550,531,604
  └─ YOY Sales Growth %,6.83%,-13.35%,-18.25%,-13.27%,5.98%,19.60%,19.53%,16.45%,17.84%,3.29%,-0.56%,1.74%,-6.87%
Expenses,372,338,358,333,400,400,420,379,468,382,383,374,434
  └─ Material Cost %,50.38%,52.41%,54.16%,52.82%,53.42%,55.10%,54.60%,50.96%,52.61%,47.66%,44.24%,45.03%,47.48%
  └─ Employee Cost %,5.08%,6.58%,6.42%,6.79%,5.46%,6.41%,6.41%,6.32%,5.79%,7.82%,8.12%,8.50%,7.17%
Operating Profit,147,100,105,115,150,124,134,142,180,160,167,157,170
OPM %,28%,23%,23%,26%,27%,24%,24%,27%,28%,29%,30%,30%,28%
Other Income,12,10,11,9,10,9,22,7,6,7,16,9,20
  └─ Other income normal,11.56,9.77,10.57,8.83,9.63,9.27,22.21,6.67,6.16,7.39,16.01,8.86,20.39
Interest,1,1,1,1,1,0,0,0,0,0,0,0,0
Depreciation,17,17,17,19,20,21,22,22,23,26,26,29,30
Profit before tax,142,92,97,103,139,112,134,127,164,141,157,136,160
Tax %,26%,25%,25%,25%,25%,25%,22%,26%,25%,26%,27%,26%,23%
Net Profit,105,69,72,77,104,84,104,94,123,104,115,101,124
  └─ Profit excl Excep,105,69,72,77,104,84,104,94,123,104,115,101,124
  └─ Profit for PE,105,69,72,77,104,84,104,94,123,104,115,101,124
  └─ Profit for EPS,105,69,72,77,104,84,104,94,123,104,115,101,124
  └─ YOY Profit Growth %,4%,-31%,-38%,-28%,-0%,21%,44%,22%,18%,24%,10%,8%,1%
EPS in Rs,10.18,6.75,7.05,7.49,10.05,8.12,10.07,9.04,11.87,10.05,11.08,9.73,11.95
Raw PDF,,,,,,,,,,,,,
