Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,677,671,674,781,748,772,656,717,760,711,677,639,816
  └─ YOY Sales Growth %,3.76%,7.46%,14.79%,18.00%,10.48%,15.03%,-2.56%,-8.18%,1.56%,-7.92%,3.13%,-10.87%,7.40%
Expenses,624,642,645,742,724,729,630,698,715,666,654,606,739
  └─ Material Cost %,76%,78%,78%,80%,83%,81%,81%,81%,80%,79%,81%,78%,76%
  └─ Employee Cost %,2%,2%,3%,2%,2%,2%,3%,3%,3%,3%,3%,3%,3%
Operating Profit,54,30,29,39,25,43,27,19,45,45,23,33,77
OPM %,8%,4%,4%,5%,3%,6%,4%,3%,6%,6%,3%,5%,9%
Other Income,10,4,10,10,18,1,0,0,2,1,-100,-1,1
  └─ Exceptional items,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.88,-0.75,0.00
  └─ Other income normal,9.68,4.23,9.70,10.00,17.72,1.19,0.14,0.47,1.84,0.54,1.17,0.16,1.25
Interest,26,17,20,25,25,21,22,16,23,10,10,11,17
Depreciation,13,14,14,14,13,14,13,14,13,14,14,14,14
Profit before tax,25,3,4,10,4,10,-8,-10,10,22,-100,7,48
Tax %,20%,160%,144%,52%,-227%,34%,13%,-185%,423%,17%,-26%,25%,-77%
Net Profit,20,-2,-2,5,13,7,-10,8,-34,18,-75,5,85
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,-101,-1,0
  └─ Profit excl Excep,20,-2,-2,5,13,7,-10,8,-34,18,26,6,85
  └─ Profit for PE,20,-2,-2,5,13,7,-10,8,-34,18,26,6,85
  └─ Profit for EPS,20,-2,-2,5,13,7,-10,8,-34,18,-75,5,85
  └─ YOY Profit Growth %,34%,88%,97%,91%,-33%,475%,-481%,72%,-360%,163%,374%,-26%,352%
EPS in Rs,0.51,-0.05,-0.04,0.12,0.34,0.18,-0.20,0.15,-0.60,0.31,-1.32,0.10,1.50
Raw PDF,,,,,,,,,,,,,
