Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales,282,282,277,217,240,234,150,81,2,11,6,13,19
  └─ YOY Sales Growth %,-41%,-33%,27%,-36%,-15%,-17%,-46%,-63%,-99%,-95%,-96%,-83%,649%
Expenses,181,166,134,131,111,292,165,100,52,97,58,49,48
  └─ Material Cost %,7.39%,12.22%,8.76%,4.35%,2.69%,3.85%,1.55%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%
  └─ Employee Cost %,7.64%,7.23%,5.73%,5.86%,4.83%,5.73%,5.68%,8.13%,187.15%,27.24%,59.81%,31.30%,23.32%
Operating Profit,101,116,143,86,129,-58,-15,-19,-50,-86,-52,-35,-29
OPM %,36%,41%,51%,40%,54%,-25%,-10%,-23%,-1991%,-802%,-816%,-262%,-155%
Other Income,128,-64,17,7,3,50,17,13,15,30,24,11,-68
  └─ Exceptional items,0,-69,-1,0,0,44,14,10,9,11,21,10,-68
  └─ Other income normal,128,5,18,7,3,6,4,3,6,19,3,2,0
Interest,89,82,72,75,69,74,26,19,15,6,14,24,16
Depreciation,49,49,65,60,63,69,40,19,2,2,2,1,1
Profit before tax,91,-79,24,-41,1,-151,-64,-45,-52,-63,-42,-49,-113
Tax %,7%,8%,69%,29%,2122%,8%,0%,1%,-0%,0%,-2%,6%,3%
Net Profit,85,-85,3,-53,-13,-163,-64,-45,-52,-63,-42,-52,-116
  └─ Profit from Associates,0,0,-5,0,0,0,0,0,0,0,0,0,0
  └─ Minority share,5,-6,2,1,1,1,0,0,2,5,0,-0,0
  └─ Exceptional items AT,0,-63,-0,0,0,41,14,10,9,11,21,10,-66
  └─ Profit excl Excep,85,-22,3,-53,-13,-203,-78,-55,-61,-75,-63,-61,-50
  └─ Profit for PE,89,-28,5,-52,-12,-202,-77,-55,-58,-68,-63,-62,-50
  └─ Profit for EPS,89,-92,5,-52,-12,-162,-64,-45,-49,-58,-42,-52,-116
  └─ YOY Profit Growth %,195%,-4209%,160%,21%,-114%,-614%,-1520%,-6%,-373%,66%,19%,-13%,13%
EPS in Rs,4.87,-5.00,0.28,-2.81,-0.66,-8.83,-3.47,-2.46,-2.69,-3.16,-2.26,-2.82,-6.33
Raw PDF,,,,,,,,,,,,,
