Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,21.25,14.43,27.90,14.95,26.34,11.08
Expenses,12.65,18.52,23.06,12.30,24.39,10.16
  └─ Material Cost %,38%,92%,59%,57%,68%,65%
  └─ Employee Cost %,11%,18%,4%,-3%,5%,11%
Operating Profit,8.60,-4.09,4.84,2.65,1.95,0.92
OPM %,40.47%,-28.34%,17.35%,17.73%,7.40%,8.30%
Other Income,0.04,0.24,0.15,-0.19,0.16,-4.47
  └─ Exceptional items,0.00,0.00,0.00,-0.34,0.00,-4.51
  └─ Other income normal,0.04,0.24,0.15,0.15,0.16,0.04
Interest,0.45,1.22,0.51,0.23,0.60,0.29
Depreciation,1.20,1.25,1.17,0.92,1.11,1.01
Profit before tax,6.99,-6.32,3.31,1.31,0.40,-4.85
Tax %,17.02%,-20.73%,0.00%,64.89%,0.00%,6.19%
Net Profit,5.80,-5.02,3.31,0.46,0.39,-5.15
  └─ Exceptional items AT,0.00,0.00,0.00,-0.34,0.00,-4.51
  └─ Profit excl Excep,5.80,-5.02,3.31,0.80,0.39,-0.64
  └─ Profit for PE,5.80,-5.02,3.31,0.80,0.39,-0.64
  └─ Profit for EPS,5.80,-5.02,3.31,0.46,0.39,-5.15
EPS in Rs,5.37,-4.65,3.06,0.43,0.36,-4.77
Raw PDF,,,,,,
