Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,470,492,539,535,575,634,696
  └─ YOY Sales Growth %,,,,,22.40%,28.97%,29.05%
Expenses,171,181,196,200,195,227,246
  └─ Material Cost %,0.08%,0.21%,0.07%,0.07%,0.07%,0.09%,0.19%
  └─ Employee Cost %,8.07%,8.75%,6.91%,8.84%,8.41%,8.16%,7.33%
Operating Profit,298,311,344,335,380,408,450
OPM %,64%,63%,64%,63%,66%,64%,65%
Other Income,30,-29,16,10,11,7,20
  └─ Exceptional items,0.00,-45.91,0.00,0.00,0.00,-4.33,0.00
  └─ Other income normal,29.94,16.71,15.50,10.40,10.84,11.51,20.25
Interest,157,160,148,136,153,152,159
Depreciation,202,205,225,223,231,246,267
Profit before tax,-31,-83,-13,-14,6,17,44
Tax %,-748%,0%,-375%,0%,-3%,-0%,-50%
Net Profit,204,-83,37,-14,6,17,66
  └─ Minority share,-0,-0,-0,0,-0,-0,-0
  └─ Exceptional items AT,0,-46,0,0,0,-4,0
  └─ Profit excl Excep,204,-37,37,-14,6,21,66
  └─ Profit for PE,204,-37,37,-14,6,21,66
  └─ Profit for EPS,204,-83,37,-14,6,17,66
  └─ YOY Profit Growth %,,,,,-97%,156%,79%
EPS in Rs,37.16,-9.21,2.72,-1.05,0.47,1.25,4.84
Raw PDF,,,,,,,
