Metric,Jun 2023,Mar 2024,Jun 2024
Sales,93.55,90.36,91.74
  └─ YOY Sales Growth %,,,-1.93%
Expenses,87.49,83.76,86.48
  └─ Material Cost %,80%,78%,82%
  └─ Employee Cost %,3%,3%,3%
Operating Profit,6.06,6.60,5.26
OPM %,6.48%,7.30%,5.73%
Other Income,0.20,0.60,0.32
  └─ Other income normal,0.20,0.60,0.32
Interest,2.05,1.62,1.09
Depreciation,0.93,0.95,0.93
Profit before tax,3.28,4.63,3.56
Tax %,16.16%,33.05%,29.21%
Net Profit,2.76,3.10,2.52
  └─ Profit excl Excep,2.76,3.10,2.52
  └─ Profit for PE,2.76,3.10,2.52
  └─ Profit for EPS,2.76,3.10,2.52
  └─ YOY Profit Growth %,,,-8.70%
EPS in Rs,0.92,1.03,0.84
Raw PDF,,,
