Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,12,27,40,47,50,53,62,62,68,77,104,101,115
  └─ YOY Sales Growth %,,,241%,305%,309%,94%,55%,30%,35%,46%,69%,64%,69%
Expenses,12,25,34,41,45,46,53,53,58,65,87,86,96
  └─ Material Cost %,65%,64%,66%,62%,65%,63%,63%,60%,59%,61%,58%,58%,57%
  └─ Employee Cost %,11%,11%,12%,11%,12%,11%,11%,12%,11%,10%,10%,12%,12%
Operating Profit,0,3,5,6,5,7,8,9,9,12,17,15,18
OPM %,0%,9%,14%,13%,11%,13%,14%,15%,14%,15%,16%,14%,16%
Other Income,0,0,0,0,0,0,0,1,0,1,2,1,3
  └─ Other income normal,0.04,0.16,0.50,0.27,0.28,0.32,0.35,0.71,0.31,0.61,1.88,1.02,3.37
Interest,1,2,3,4,4,4,4,4,4,5,6,6,5
Depreciation,0,1,2,2,2,2,2,2,2,3,4,4,4
Profit before tax,-1,0,1,1,0,1,3,4,4,5,9,6,12
Tax %,-903%,0%,0%,0%,0%,5%,9%,8%,0%,8%,9%,10%,7%
Net Profit,8,0,1,1,0,1,2,3,4,4,8,5,11
  └─ Minority share,0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,-0
  └─ Profit excl Excep,8,0,1,1,0,1,2,3,4,4,8,5,11
  └─ Profit for PE,8,0,1,1,0,1,2,3,4,4,8,5,11
  └─ Profit for EPS,8,0,1,1,0,1,2,3,4,4,8,5,11
  └─ YOY Profit Growth %,,,10700%,159%,-96%,13700%,124%,234%,1084%,217%,232%,49%,199%
EPS in Rs,7.95,0.01,1.07,1.00,0.32,1.37,2.40,3.34,3.75,4.33,7.95,4.39,9.94
Raw PDF,,,,,,,,,,,,,
