Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1496,1392,1781,1760,1549,2114,2775,3105
  └─ YOY Sales Growth %,,,,,4%,52%,56%,76%
Expenses,1402,1304,1691,1667,1459,1954,2577,2995
  └─ Material Cost %,90%,90%,92%,91%,90%,89%,90%,95%
  └─ Employee Cost %,0%,0%,0%,0%,1%,0%,0%,0%
Operating Profit,94,88,89,93,90,160,199,110
OPM %,6%,6%,5%,5%,6%,8%,7%,4%
Other Income,10,7,13,8,6,5,2,10
  └─ Exceptional items,-0.42,-3.26,6.87,-1.70,-0.98,-0.62,-3.21,-0.01
  └─ Other income normal,10.60,9.86,5.73,9.87,7.18,6.09,5.42,9.68
Interest,21,19,21,23,16,27,26,26
Depreciation,3,3,4,4,3,3,4,4
Profit before tax,80,72,77,75,77,135,171,89
Tax %,26%,27%,24%,30%,26%,27%,26%,26%
Net Profit,60,53,59,53,57,99,126,66
  └─ Exceptional items AT,-0,-3,7,-2,-1,-1,-3,-0
  └─ Profit excl Excep,60,56,52,54,58,99,129,66
  └─ Profit for PE,60,56,52,54,58,99,129,66
  └─ Profit for EPS,60,53,59,53,57,99,126,66
  └─ YOY Profit Growth %,,,,,-4%,78%,150%,22%
EPS in Rs,14.53,12.81,14.29,1.62,1.75,2.86,3.66,1.91
Raw PDF,,,,,,,,
