Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,59,111,138,182,341,725
Expenses,46,89,117,154,292,662
  └─ Material Cost %,61%,70%,76%,81%,82%,89%
  └─ Employee Cost %,5%,1%,2%,2%,2%,1%
Operating Profit,13,23,21,29,49,64
OPM %,21%,20%,15%,16%,14%,9%
Other Income,0,2,1,0,1,0
  └─ Other income normal,0.24,1.55,1.45,0.00,1.28,0.00
Interest,3,2,2,2,3,3
Depreciation,1,2,2,3,4,5
Profit before tax,9,20,18,23,43,55
Tax %,22%,24%,28%,26%,24%,23%
Net Profit,7,15,13,17,33,42
  └─ Minority share,0.00,-1.94,-0.18,-0.02,-0.03,0.04
  └─ Profit excl Excep,6.79,15.06,13.25,17.17,32.91,42.28
  └─ Profit for PE,6.79,13.12,13.07,17.15,32.88,42.32
  └─ Profit for EPS,6.79,13.12,13.07,17.15,32.88,42.32
EPS in Rs,3.73,7.20,5.27,6.92,13.26,17.06
Raw PDF,,,,,,
