Metric,Sep 2022,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,23.76,26.10,17.14,23.60,19.67,29.64,27.41
Expenses,16.28,19.43,10.12,15.68,16.35,22.24,24.78
  └─ Material Cost %,22%,45%,-0%,37%,40%,45%,61%
  └─ Employee Cost %,34%,22%,34%,24%,34%,24%,22%
Operating Profit,7.48,6.67,7.02,7.92,3.32,7.40,2.63
OPM %,31.48%,25.56%,40.96%,33.56%,16.88%,24.97%,9.60%
Other Income,0.02,0.05,0.12,0.00,0.10,0.03,0.81
  └─ Other income normal,0.02,0.05,0.12,-0.00,0.10,0.03,0.81
Interest,0.92,1.21,1.16,1.43,1.04,1.28,1.04
Depreciation,2.26,1.64,1.95,1.86,1.39,1.61,1.71
Profit before tax,4.32,3.87,4.03,4.63,0.99,4.54,0.69
Tax %,17.36%,18.86%,29.03%,25.27%,41.41%,25.11%,1.45%
Net Profit,3.57,3.14,2.87,3.46,0.58,3.40,0.69
  └─ Profit excl Excep,3.57,3.14,2.87,3.46,0.58,3.40,0.69
  └─ Profit for PE,3.57,3.14,2.87,3.46,0.58,3.40,0.69
  └─ Profit for EPS,3.57,3.14,2.87,3.46,0.58,3.40,0.69
EPS in Rs,5.10,3.70,3.38,4.08,0.68,4.01,0.81
Raw PDF,,,,,,,
