Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,14.52,14.40,17.12,19.28,20.12,20.77,13.56,22.61,24.02,17.66,27.52,25.56,36.58
  └─ YOY Sales Growth %,-23%,22%,1%,58%,39%,44%,-21%,17%,19%,-15%,103%,13%,52%
Expenses,13.66,13.73,16.50,18.86,19.48,20.27,13.93,22.07,24.84,18.33,27.06,27.25,37.99
  └─ Material Cost %,73%,79%,75%,79%,82%,79%,79%,81%,83%,71%,80%,87%,88%
  └─ Employee Cost %,4%,5%,3%,5%,4%,3%,5%,2%,3%,8%,5%,7%,4%
Operating Profit,0.86,0.67,0.62,0.42,0.64,0.50,-0.37,0.54,-0.82,-0.67,0.46,-1.69,-1.41
OPM %,5.92%,4.65%,3.62%,2.18%,3.18%,2.41%,-2.73%,2.39%,-3.41%,-3.79%,1.67%,-6.61%,-3.85%
Other Income,0.50,0.73,0.60,0.94,0.95,0.95,1.75,1.43,2.39,1.98,1.40,3.93,3.63
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,-0.83,0.00,0.00,0.00,0.00
  └─ Other income normal,0.50,0.73,0.60,0.94,0.95,0.95,0.92,1.43,3.22,1.98,1.40,3.93,3.63
Interest,0.67,0.53,0.44,0.50,0.36,0.39,0.40,0.47,0.63,0.52,0.56,0.50,0.54
Depreciation,0.48,0.40,0.47,0.47,0.51,0.44,0.43,0.44,0.50,0.46,0.49,0.53,0.55
Profit before tax,0.21,0.47,0.31,0.39,0.72,0.62,0.55,1.06,0.44,0.33,0.81,1.21,1.13
Tax %,-9.52%,31.91%,-45.16%,35.90%,19.44%,30.65%,29.09%,32.08%,70.45%,30.30%,23.46%,9.92%,32.74%
Net Profit,0.23,0.32,0.45,0.25,0.57,0.43,0.39,0.72,0.13,0.25,0.62,1.09,0.76
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,-0.52,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,0.23,0.32,0.45,0.25,0.57,0.43,-0.28,0.72,0.65,0.25,0.62,1.09,0.76
  └─ Profit for PE,0.23,0.32,0.45,0.25,0.57,0.43,-0.28,0.72,0.65,0.25,0.62,1.09,0.76
  └─ Profit for EPS,0.23,0.32,0.45,0.25,0.57,0.43,0.39,0.72,0.13,0.25,0.62,1.09,0.76
  └─ YOY Profit Growth %,-93.20%,223.08%,-44.44%,-13.79%,147.83%,34.38%,-162.22%,188.00%,14.04%,-41.86%,321.43%,51.39%,16.92%
EPS in Rs,0.03,0.05,0.07,0.04,0.07,0.05,0.04,0.08,0.01,0.02,0.06,0.11,0.07
Raw PDF,,,,,,,,,,,,,
