Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,69.73,63.44,73.11,73.09,45.13,76.32,97.17
  └─ YOY Sales Growth %,,,,,-35.28%,20.30%,32.91%
Expenses,62.23,58.85,65.98,65.58,38.59,68.06,86.47
  └─ Material Cost %,84%,87%,84%,83%,78%,85%,85%
  └─ Employee Cost %,2%,2%,3%,2%,3%,2%,2%
Operating Profit,7.50,4.59,7.13,7.51,6.54,8.26,10.70
OPM %,10.76%,7.24%,9.75%,10.28%,14.49%,10.82%,11.01%
Other Income,0.01,0.53,2.78,0.20,0.52,0.19,0.39
  └─ Exceptional items,0.00,0.00,2.19,0.00,0.00,0.00,0.00
  └─ Other income normal,0.01,0.53,0.59,0.20,0.52,0.19,0.39
Interest,1.69,1.34,1.57,1.57,1.74,1.47,2.08
Depreciation,0.21,0.77,0.59,0.59,0.62,0.65,0.68
Profit before tax,5.61,3.01,7.75,5.55,4.70,6.33,8.33
Tax %,25.67%,23.59%,26.84%,24.86%,25.74%,25.75%,26.29%
Net Profit,4.17,2.30,5.66,4.17,3.49,4.70,6.14
  └─ Exceptional items AT,0,0,2,0,0,0,0
  └─ Profit excl Excep,4,2,4,4,3,5,6
  └─ Profit for PE,4,2,4,4,3,5,6
  └─ Profit for EPS,4,2,6,4,3,5,6
  └─ YOY Profit Growth %,,,,,-16%,104%,51%
EPS in Rs,2.90,1.60,3.91,2.88,2.41,3.25,4.03
Raw PDF,,,,,,,
