Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,190,221,244,305,380,447
Expenses,168,199,223,272,336,397
  └─ Employee Cost %,6.87%,6.47%,6.82%,7.53%,5.40%,6.13%
Operating Profit,22,21,21,33,44,50
OPM %,11%,10%,9%,11%,12%,11%
Other Income,0,3,2,4,3,2
  └─ Other income normal,0.30,3.19,2.35,3.54,3.11,2.43
Interest,2,2,3,4,7,7
Depreciation,5,6,6,15,21,26
Profit before tax,15,16,14,17,19,19
Tax %,24%,27%,27%,24%,26%,11%
Net Profit,11,12,10,13,14,17
  └─ Profit excl Excep,11.34,11.88,10.30,13.04,14.11,17.17
  └─ Profit for PE,11.34,11.88,10.30,13.04,14.11,17.17
  └─ Profit for EPS,11.34,11.88,10.30,13.04,14.11,17.17
EPS in Rs,6.53,4.99,4.33,5.48,5.93,7.21
Raw PDF,,,,,,
