Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,15.30,1.75,7.20,7.01,12.70,22.16,22.73,18.85,19.11,20.99,16.35,14.29,19.53
Expenses,14.43,2.62,7.00,6.85,11.22,17.97,18.04,13.65,14.12,14.90,14.04,12.24,15.52
  └─ Material Cost %,55.16%,45.71%,60.69%,60.06%,57.48%,61.87%,51.39%,42.92%,31.34%,39.59%,36.27%,37.23%,38.50%
  └─ Employee Cost %,10.26%,36.57%,9.17%,13.84%,9.84%,5.05%,5.41%,6.26%,10.57%,9.10%,13.03%,14.77%,13.57%
Operating Profit,0.87,-0.87,0.20,0.16,1.48,4.19,4.69,5.20,4.99,6.09,2.31,2.05,4.01
OPM %,5.69%,-49.71%,2.78%,2.28%,11.65%,18.91%,20.63%,27.59%,26.11%,29.01%,14.13%,14.35%,20.53%
Other Income,0.27,0.13,0.79,0.39,0.20,0.52,0.56,0.71,0.81,0.68,-2.61,0.74,0.60
  └─ Exceptional items,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,-2.79,0.00,0.00
  └─ Other income normal,0.27,0.13,0.79,0.39,0.21,0.52,0.56,0.71,0.81,0.68,0.18,0.74,0.60
Interest,0.01,0.01,0.03,0.02,0.02,0.03,0.03,0.02,0.01,0.02,0.00,0.02,0.01
Depreciation,0.30,0.28,0.28,0.24,0.27,0.40,0.31,0.36,0.35,0.29,0.40,0.34,0.46
Profit before tax,0.83,-1.03,0.68,0.29,1.39,4.28,4.91,5.53,5.44,6.46,-0.70,2.43,4.14
Tax %,32.53%,3.88%,-10.29%,-3.45%,27.34%,28.97%,24.64%,26.04%,22.98%,25.70%,-10.00%,26.34%,30.92%
Net Profit,0.56,-1.07,0.74,0.30,1.01,3.04,3.71,4.09,4.19,4.80,-0.63,1.78,2.86
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,-2.79,0.00,0.00
  └─ Profit excl Excep,0.56,-1.07,0.74,0.30,1.02,3.04,3.71,4.09,4.19,4.80,2.16,1.78,2.86
  └─ Profit for PE,0.56,-1.07,0.74,0.30,1.02,3.04,3.71,4.09,4.19,4.80,2.16,1.78,2.86
  └─ Profit for EPS,0.56,-1.07,0.74,0.30,1.01,3.04,3.71,4.09,4.19,4.80,-0.63,1.78,2.86
EPS in Rs,0.26,-0.49,0.34,0.14,0.46,1.39,1.70,1.88,1.92,2.20,-0.29,0.82,1.31
Raw PDF,,,,,,,,,,,,,
