Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2390,2763,3049,3046,3222,3601,3992,4410,4961,5561,6148,6383
  └─ YOY Sales Growth %,,,,,34.82%,30.31%,30.94%,44.80%,53.97%,54.43%,54.01%,44.74%
Expenses,2964,3387,3575,3536,3766,4155,4718,5374,5916,6360,6931,7081
  └─ Material Cost %,38.08%,41.42%,43.73%,39.94%,37.09%,38.54%,39.18%,42.02%,41.60%,42.11%,44.66%,45.67%
  └─ Employee Cost %,20.33%,19.42%,14.33%,18.16%,18.28%,16.86%,16.46%,15.78%,13.83%,12.41%,10.95%,10.45%
Operating Profit,-575,-624,-526,-490,-544,-554,-726,-964,-955,-799,-783,-698
OPM %,-24%,-23%,-17%,-16%,-17%,-15%,-18%,-22%,-19%,-14%,-13%,-11%
Other Income,119,87,78,73,75,82,107,121,87,59,86,266
  └─ Exceptional items,-1,-0,-5,-25,-13,-3,4,0,0,0,-10,0
  └─ Other income normal,120,87,82,98,88,85,103,121,87,59,96,266
Interest,17,15,18,20,20,23,26,32,41,48,55,56
Depreciation,91,105,108,117,122,131,154,206,288,304,313,312
Profit before tax,-564,-657,-574,-555,-611,-626,-799,-1081,-1197,-1092,-1065,-800
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit,-564,-657,-574,-555,-611,-626,-799,-1081,-1197,-1092,-1065,-800
  └─ Exceptional items AT,-1,-0,-5,-25,-13,-3,4,0,0,0,-10,0
  └─ Profit excl Excep,-563,-657,-570,-530,-598,-623,-803,-1081,-1197,-1092,-1055,-800
  └─ Profit for PE,-563,-657,-570,-530,-598,-623,-803,-1081,-1197,-1092,-1055,-800
  └─ Profit for EPS,-564,-657,-574,-555,-611,-626,-799,-1081,-1197,-1092,-1065,-800
  └─ YOY Profit Growth %,,,,,-6%,5%,-41%,-104%,-100%,-75%,-31%,26%
EPS in Rs,,,,,,-62.75,-3.57,-4.73,-4.80,-4.38,-3.86,-2.90
Raw PDF,,,,,,,,,,,,
