Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,95,131,134,204,204,250,271
Expenses,86,118,119,181,180,218,230
  └─ Material Cost %,66%,66%,62%,68%,65%,67%,69%
  └─ Employee Cost %,3%,4%,7%,4%,8%,4%,4%
Operating Profit,8,13,14,23,24,32,41
OPM %,9%,10%,11%,11%,12%,13%,15%
Other Income,0,0,1,0,2,0,1
  └─ Exceptional items,0.00,0.00,0.00,0.00,1.83,0.00,-0.27
  └─ Other income normal,0.38,0.01,0.76,0.46,0.29,0.41,1.09
Interest,1,2,4,5,6,6,11
Depreciation,1,2,2,3,6,6,6
Profit before tax,6,9,9,15,14,21,24
Tax %,31%,30%,23%,18%,34%,25%,33%
Net Profit,4,7,7,12,9,15,16
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,-0.43
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,1.20,0.00,-0.18
  └─ Profit excl Excep,4.27,6.56,6.57,12.46,7.85,15.41,16.15
  └─ Profit for PE,4.27,6.56,6.57,12.46,7.85,15.41,15.72
  └─ Profit for EPS,4.27,6.56,6.57,12.46,9.05,15.41,15.54
EPS in Rs,2.60,3.77,3.74,5.71,4.15,7.06,7.12
Raw PDF,,,,,,,
