Metric,Dec 2025,Mar 2026
Sales,73.69,71.74
Expenses,63.55,64.05
  └─ Material Cost %,74%,71%
  └─ Employee Cost %,2%,3%
Operating Profit,10.14,7.69
OPM %,13.76%,10.72%
Other Income,0.51,7.15
  └─ Other income normal,0.51,7.15
Interest,1.37,1.30
Depreciation,0.43,0.41
Profit before tax,8.85,13.13
Tax %,25.31%,29.02%
Net Profit,6.61,9.32
  └─ Minority share,-0.08,-0.35
  └─ Profit excl Excep,6.61,9.32
  └─ Profit for PE,6.53,8.97
  └─ Profit for EPS,6.53,8.97
EPS in Rs,1.05,1.45
Raw PDF,,
