Metric,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2.13,7.64,7.63,7.71,7.71,7.71
  └─ YOY Sales Growth %,,,,,261.97%,0.92%
Expenses,1.24,0.97,0.33,0.42,0.40,0.31
Operating Profit,0.89,6.67,7.30,7.29,7.31,7.40
OPM %,41.78%,87.30%,95.67%,94.55%,94.81%,95.98%
Other Income,0.00,0.29,0.28,0.27,0.28,0.30
  └─ Other income normal,0.00,0.29,0.28,0.27,0.28,0.30
Interest,0.06,0.19,0.20,0.20,0.21,0.21
Depreciation,0.46,1.60,1.62,1.62,1.63,1.62
Profit before tax,0.37,5.17,5.76,5.74,5.75,5.87
Tax %,367.57%,75.63%,27.60%,27.35%,-146.43%,82.62%
Net Profit,-0.99,1.26,4.17,4.16,14.18,1.01
  └─ Profit excl Excep,-0.99,1.26,4.17,4.16,14.18,1.01
  └─ Profit for PE,-0.99,1.26,4.17,4.16,14.18,1.01
  └─ Profit for EPS,-0.99,1.26,4.17,4.16,14.18,1.01
  └─ YOY Profit Growth %,,,,,1532.32%,-19.84%
EPS in Rs,-2911.76,3705.88,12264.71,12235.29,41705.88,2970.59
Raw PDF,,,,,,
