Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,14.42,26.92,31.73,24.51,30.35
  └─ YOY Sales Growth %,,,,69.97%,12.74%
Expenses,8.76,18.20,17.96,17.95,18.18
  └─ Material Cost %,8.39%,39.90%,29.81%,43.66%,27.22%
  └─ Employee Cost %,13.80%,7.58%,6.15%,8.73%,6.92%
Operating Profit,5.66,8.72,13.77,6.56,12.17
OPM %,39.25%,32.39%,43.40%,26.76%,40.10%
Other Income,0.00,0.23,0.15,0.10,0.18
  └─ Other income normal,0.00,0.23,0.15,0.10,0.18
Interest,0.39,0.43,0.51,1.20,1.29
Depreciation,0.58,0.36,0.61,0.49,0.64
Profit before tax,4.69,8.16,12.80,4.97,10.42
Tax %,27.72%,20.96%,26.64%,26.96%,19.77%
Net Profit,3.40,6.46,9.38,3.63,8.36
  └─ Profit excl Excep,3.40,6.46,9.38,3.63,8.36
  └─ Profit for PE,3.40,6.46,9.38,3.63,8.36
  └─ Profit for EPS,3.40,6.46,9.38,3.63,8.36
  └─ YOY Profit Growth %,,,,6.76%,29.41%
EPS in Rs,0.55,1.05,1.53,0.59,1.15
Raw PDF,,,,,
