Metric,Sep 2024
  └─ Material Cost %,82%
  └─ Employee Cost %,2%
  └─ Other income normal,0.36
  └─ Profit excl Excep,3.60
  └─ Profit for PE,3.60
  └─ Profit for EPS,3.60
