Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,42.72,75.18,75.08,79.32,94.54,101.56,103.61,105.89,109.18
  └─ YOY Sales Growth %,,,,,121.30%,35.09%,38.00%,33.50%,15.49%
Expenses,11.88,10.25,10.35,9.59,12.24,13.71,12.55,12.67,15.05
  └─ Employee Cost %,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Operating Profit,30.84,64.93,64.73,69.73,82.30,87.85,91.06,93.22,94.13
OPM %,72.19%,86.37%,86.21%,87.91%,87.05%,86.50%,87.89%,88.03%,86.22%
Other Income,5.47,1.23,1.00,1.83,10.19,6.76,3.96,2.78,2.35
  └─ Exceptional items,0.00,0.00,0.32,0.00,6.88,0.00,0.00,2.11,11.68
  └─ Other income normal,5.47,1.23,0.68,1.83,3.31,6.76,3.96,0.67,-9.33
Interest,5.97,8.30,8.39,11.78,33.22,32.17,32.65,32.83,32.61
Depreciation,8.27,14.99,15.64,16.23,18.40,19.38,19.87,20.90,20.90
Profit before tax,22.07,42.87,41.70,43.55,40.87,43.06,42.50,42.27,42.97
Tax %,16.63%,8.12%,35.40%,14.44%,18.94%,11.91%,13.88%,21.29%,86.90%
Net Profit,18.41,39.39,26.94,37.27,33.13,37.93,36.60,33.27,5.64
  └─ Minority share,0,-0,-0,-0,-1,0,0,-0,1
  └─ Exceptional items AT,0,0,0,0,6,0,0,2,12
  └─ Profit excl Excep,18,39,27,37,28,38,37,32,-6
  └─ Profit for PE,19,39,27,37,27,38,37,31,-5
  └─ Profit for EPS,19,39,27,37,33,38,37,33,7
  └─ YOY Profit Growth %,,,,,46%,-3%,39%,-15%,-118%
EPS in Rs,0.48,1.02,0.70,0.96,0.85,0.97,0.94,0.83,0.17
Raw PDF,,,,,,,,,
