Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Dec 2022,Mar 2023,Dec 2023
Sales,24.79,23.01,24.36,22.30,23.70,21.15,,,
  └─ YOY Sales Growth %,,8.17%,,,,,,,36.44%
Expenses,20.23,21.85,21.18,20.60,22.66,22.64,,,
  └─ Material Cost %,20.33%,19.95%,17.49%,20.18%,20.08%,22.74%,,,
  └─ Employee Cost %,10.04%,12.43%,11.62%,14.75%,11.43%,13.52%,,,
Operating Profit,4.56,1.16,3.18,1.70,1.04,-1.49,,,
OPM %,18.39%,5.04%,13.05%,7.62%,4.39%,-7.04%,,,
Other Income,0.05,0.22,0.19,0.38,0.23,0.76,,,
  └─ Other income normal,0.05,0.22,0.19,0.38,0.23,0.76,,,
Interest,0.39,0.46,0.45,0.35,0.43,1.06,,,
Depreciation,0.64,0.64,0.66,0.84,0.79,0.73,,,
Profit before tax,3.58,0.28,2.26,0.89,0.05,-2.52,,,
Tax %,28.49%,67.86%,26.11%,83.15%,160.00%,-3.97%,,,
Net Profit,2.56,0.09,1.67,0.15,-0.04,-2.43,,,
  └─ Profit excl Excep,2.56,0.09,1.67,0.15,-0.04,-2.43,,,
  └─ Profit for PE,2.56,0.09,1.67,0.15,-0.04,-2.43,,,
  └─ Profit for EPS,2.56,0.09,1.67,0.15,-0.04,-2.43,,,
EPS in Rs,5.16,0.13,2.46,0.22,-0.06,-3.59,,,
Raw PDF,,,,,,,,,
