Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,16.43,30.97,34.82,43.87,38.77,41.89,33.83
Expenses,18.75,25.29,27.31,33.98,30.25,30.98,32.35
  └─ Employee Cost %,6.63%,6.01%,16.31%,11.35%,10.16%,6.83%,11.79%
Operating Profit,-2.32,5.68,7.51,9.89,8.52,10.91,1.48
OPM %,-14.12%,18.34%,21.57%,22.54%,21.98%,26.04%,4.37%
Other Income,0.01,0.00,0.04,1.48,1.74,0.96,0.36
  └─ Other income normal,0.01,0.00,0.04,1.48,1.74,0.96,0.36
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.06,0.51,2.26,2.77,4.31,6.10,7.70
Profit before tax,-2.37,5.17,5.29,8.60,5.95,5.77,-5.86
Tax %,-29.96%,27.66%,34.59%,26.40%,26.05%,27.90%,-20.82%
Net Profit,-1.66,3.74,3.47,6.32,4.39,4.16,-4.65
  └─ Profit excl Excep,-1.66,3.74,3.47,6.32,4.39,4.16,-4.65
  └─ Profit for PE,-1.66,3.74,3.47,6.32,4.39,4.16,-4.65
  └─ Profit for EPS,-1.66,3.74,3.47,6.32,4.39,4.16,-4.65
EPS in Rs,-1660.00,7.48,2.18,3.97,2.76,2.61,-2.92
Raw PDF,,,,,,,
