Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,178.30,162.04,162.43,136.95,184.98,135.90,142.85,177.69,278.34,305.63,360.11,382.59,378.40
  └─ YOY Sales Growth %,0.00%,-9.50%,-16.55%,-13.43%,3.75%,-16.13%,-12.05%,29.75%,50.47%,124.89%,152.09%,115.31%,35.95%
Expenses,162.46,146.06,144.65,125.94,164.86,129.97,131.71,162.70,263.91,275.59,320.59,345.74,337.75
  └─ Material Cost %,58%,54%,51%,49%,49%,46%,43%,52%,64%,62%,56%,60%,57%
  └─ Employee Cost %,16%,18%,19%,21%,17%,23%,22%,18%,12%,12%,11%,11%,11%
Operating Profit,15.84,15.98,17.78,11.01,20.12,5.93,11.14,14.99,14.43,30.04,39.52,36.85,40.65
OPM %,8.88%,9.86%,10.95%,8.04%,10.88%,4.36%,7.80%,8.44%,5.18%,9.83%,10.97%,9.63%,10.74%
Other Income,3.46,5.04,2.40,3.96,2.40,1.91,7.04,6.86,10.34,5.32,2.18,2.53,8.06
  └─ Other income normal,3.46,5.04,2.40,3.96,2.40,1.91,7.04,6.86,10.34,5.32,2.18,2.53,8.06
Interest,0.68,0.21,0.33,0.79,1.20,3.59,4.83,5.17,10.52,15.84,16.35,20.25,19.67
Depreciation,9.14,9.20,9.85,9.40,9.90,11.74,12.99,12.61,12.41,14.25,14.96,15.17,16.15
Profit before tax,9.48,11.61,10.00,4.78,11.42,-7.49,0.36,4.07,1.84,5.27,10.39,3.96,12.89
Tax %,11.81%,32.90%,33.10%,54.18%,32.75%,12.82%,1047.22%,79.61%,226.09%,43.07%,26.18%,118.94%,36.31%
Net Profit,8.36,7.80,6.69,2.18,7.68,-8.45,-3.41,0.83,-2.32,3.00,7.67,-0.74,8.21
  └─ Profit excl Excep,8,8,7,2,8,-8,-3,1,-2,3,8,-1,8
  └─ Profit for PE,8,8,7,2,8,-8,-3,1,-2,3,8,-1,8
  └─ Profit for EPS,8,8,7,2,8,-8,-3,1,-2,3,8,-1,8
  └─ YOY Profit Growth %,-22%,-48%,-64%,-82%,-8%,-208%,-151%,-62%,-130%,136%,325%,-189%,454%
EPS in Rs,7.64,7.13,6.11,1.99,7.02,-7.72,-3.12,0.76,-2.12,2.74,7.01,-0.68,7.50
Raw PDF,,,,,,,,,,,,,
