Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4302,4418,4847,4851,4944,5086,5589,5527,5592,5842,6304,6477,6606
  └─ YOY Sales Growth %,21.31%,16.39%,14.02%,13.77%,14.92%,15.12%,15.32%,13.94%,13.11%,14.88%,12.78%,17.20%,18.12%
Expenses,3814,3909,4219,4237,4303,4410,4774,4765,4822,4990,5362,5512,5594
  └─ Material Cost %,52%,51%,51%,52%,51%,52%,51%,52%,52%,52%,51%,52%,52%
  └─ Employee Cost %,14%,13%,13%,13%,13%,13%,13%,12%,13%,12%,12%,12%,12%
Operating Profit,488,509,628,614,640,675,816,762,770,852,941,965,1011
OPM %,11%,12%,13%,13%,13%,13%,15%,14%,14%,15%,15%,15%,15%
Other Income,20,34,26,29,37,49,44,69,72,54,61,48,54
  └─ Exceptional items,0,0,2,0,0,0,0,0,0,0,0,-19,0
  └─ Other income normal,20,34,24,29,37,49,44,69,72,54,61,68,54
Interest,95,106,111,113,119,116,118,110,115,108,110,113,119
Depreciation,159,167,163,167,190,177,184,185,211,215,218,219,224
Profit before tax,254,270,379,363,368,430,557,536,516,583,675,682,722
Tax %,43%,36%,34%,30%,30%,27%,29%,29%,20%,24%,27%,24%,24%
Net Profit,146,173,249,254,258,316,396,379,414,441,494,516,551
  └─ Minority share,-1,-7,-16,-9,-5,-10,-17,-7,-25,-8,-17,-14,-22
  └─ Exceptional items AT,0,0,1,0,0,0,0,0,0,0,0,-15,0
  └─ Profit excl Excep,146,173,248,254,258,316,396,379,414,441,494,531,551
  └─ Profit for PE,144,167,232,245,254,305,379,372,390,433,477,516,529
  └─ Profit for EPS,144,167,233,245,254,305,379,372,390,433,477,502,529
  └─ YOY Profit Growth %,60%,-47%,14%,60%,76%,83%,63%,52%,54%,42%,26%,39%,36%
EPS in Rs,10.05,11.59,16.20,17.06,17.65,21.23,26.34,25.89,27.10,30.10,33.19,34.93,36.81
Raw PDF,,,,,,,,,,,,,
