Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,389,394,398,452,441,359,6,0,0,5,1,0,1
  └─ YOY Sales Growth %,-18%,-2%,2%,31%,14%,-9%,-99%,-100%,-100%,-99%,-88%,-100%,12800%
Expenses,371,359,371,410,393,319,6,0,0,6,0,2,59
  └─ Material Cost %,75%,71%,72%,72%,70%,66%,68%,0%,0%,67%,0%,,0%
  └─ Employee Cost %,5%,5%,5%,5%,5%,7%,12%,300%,200%,13%,3%,,98%
Operating Profit,18,36,27,42,48,40,-1,-0,-0,-1,1,-2,-57
OPM %,5%,9%,7%,9%,11%,11%,-10%,-500%,-500%,-16%,77%,,-4437%
Other Income,18,0,11,0,1,1,7,8,-130,-62,-176,35,-24
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,5.83,7.61,-129.98,-62.55,-176.31,34.80,-30.71
  └─ Other income normal,17.92,0.47,10.61,0.48,1.47,0.55,0.69,0.47,0.18,0.32,0.03,0.66,6.29
Interest,20,18,21,25,24,20,0,0,0,0,0,30,6
Depreciation,15,15,15,15,15,15,0,0,0,1,0,0,0
Profit before tax,2,3,2,2,11,5,5,8,-130,-64,-176,3,-88
Tax %,-145%,41%,38%,36%,95%,40%,-2%,2%,-0%,-1%,0%,-339%,-22%
Net Profit,4,2,1,2,1,3,6,8,-130,-63,-176,14,-68
  └─ Exceptional items AT,0,0,0,0,0,0,6,8,-130,-63,-176,35,-31
  └─ Profit excl Excep,4,2,1,2,1,3,-0,0,-0,-1,0,-21,-37
  └─ Profit for PE,4,2,1,2,1,3,-0,0,-0,-1,0,-21,-37
  └─ Profit for EPS,4,2,1,2,1,3,6,8,-130,-63,-176,14,-68
  └─ YOY Profit Growth %,-68%,-53%,105%,117%,-84%,63%,-123%,-85%,-119%,-123%,230%,-9026%,-33727%
EPS in Rs,0.16,0.08,0.05,0.07,0.03,0.13,0.25,0.35,-5.80,-2.82,-7.85,0.64,-3.50
Raw PDF,,,,,,,,,,,,,
