Metric,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016
Sales,45.97,50.26,47.90,41.83,49.63,48.47,59.32
  └─ YOY Sales Growth %,,,,,7.96%,-3.56%,23.84%
Expenses,40.90,44.20,40.87,34.36,39.87,40.38,42.82
  └─ Material Cost %,66%,61%,61%,58%,57%,57%,51%
  └─ Employee Cost %,3%,4%,3%,3%,3%,4%,3%
Operating Profit,5.07,6.06,7.03,7.47,9.76,8.09,16.50
OPM %,11.03%,12.06%,14.68%,17.86%,19.67%,16.69%,27.82%
Other Income,0.41,0.39,0.04,0.86,0.21,0.07,0.00
  └─ Other income normal,0.41,0.39,0.04,0.86,0.21,0.07,0.00
Interest,0.77,0.84,0.90,0.77,0.85,0.83,0.94
Depreciation,0.96,1.00,1.06,1.04,1.06,1.08,1.13
Profit before tax,3.75,4.61,5.11,6.52,8.06,6.25,14.43
Tax %,35.20%,44.03%,36.59%,33.90%,37.22%,35.36%,34.58%
Net Profit,2.43,2.58,3.24,4.30,5.06,4.03,9.45
  └─ Profit excl Excep,2,3,3,4,5,4,9
  └─ Profit for PE,2,3,3,4,5,4,9
  └─ Profit for EPS,2,3,3,4,5,4,9
  └─ YOY Profit Growth %,,,,,108%,56%,192%
EPS in Rs,4.91,3.53,4.43,5.88,6.92,5.51,12.92
Raw PDF,,,,,,,
