Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,188.38,220.20,185.77,180.24,197.62,211.03,154.74,199.83,236.17,207.05,188.57,224.11,263.12
  └─ YOY Sales Growth %,32.83%,52.08%,13.16%,18.24%,4.90%,-4.16%,-16.70%,10.87%,19.51%,-1.89%,21.86%,12.15%,11.41%
Expenses,185.16,215.77,181.63,175.81,194.30,207.00,151.81,195.77,228.46,202.16,183.50,218.26,255.28
  └─ Material Cost %,83%,85%,82%,81%,82%,83%,78%,82%,81%,79%,79%,79%,79%
  └─ Employee Cost %,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%,3%,3%,3%
Operating Profit,3.22,4.43,4.14,4.43,3.32,4.03,2.93,4.06,7.71,4.89,5.07,5.85,7.84
OPM %,1.71%,2.01%,2.23%,2.46%,1.68%,1.91%,1.89%,2.03%,3.26%,2.36%,2.69%,2.61%,2.98%
Other Income,1.26,0.81,0.56,1.54,1.58,0.13,0.43,0.26,2.26,0.78,0.69,0.40,1.25
  └─ Exceptional items,0.00,0.05,-0.01,1.09,0.00,0.00,0.28,0.17,0.00,0.63,0.05,0.00,0.00
  └─ Other income normal,1.26,0.76,0.57,0.45,1.58,0.13,0.15,0.09,2.26,0.15,0.64,0.40,1.25
Interest,1.34,1.42,0.95,1.51,1.27,1.08,1.00,0.72,1.09,1.19,1.15,1.51,1.16
Depreciation,1.47,1.73,1.76,1.77,1.74,1.88,1.92,2.04,2.02,2.15,2.21,2.20,2.26
Profit before tax,1.67,2.09,1.99,2.69,1.89,1.20,0.44,1.56,6.86,2.33,2.40,2.54,5.67
Tax %,27.54%,20.57%,22.11%,22.30%,24.87%,26.67%,50.00%,30.13%,21.14%,25.75%,21.67%,25.20%,28.22%
Net Profit,1.22,1.66,1.55,2.08,1.43,0.87,0.23,1.09,5.41,1.74,1.88,1.91,4.07
  └─ Exceptional items AT,0.00,0.04,0.00,0.85,0.00,0.00,0.14,0.11,0.00,0.47,0.04,0.00,0.00
  └─ Profit excl Excep,1.22,1.62,1.55,1.23,1.43,0.87,0.09,0.98,5.41,1.27,1.84,1.91,4.07
  └─ Profit for PE,1.22,1.62,1.55,1.23,1.43,0.87,0.09,0.98,5.41,1.27,1.84,1.91,4.07
  └─ Profit for EPS,1.22,1.66,1.55,2.08,1.43,0.87,0.23,1.09,5.41,1.74,1.88,1.91,4.07
  └─ YOY Profit Growth %,-30.29%,42.11%,84.52%,-28.07%,17.21%,-46.30%,-94.19%,-20.33%,278.32%,45.98%,1944.44%,94.90%,-24.77%
EPS in Rs,0.74,1.01,0.94,1.27,0.87,0.53,0.14,0.66,3.29,1.06,1.14,1.16,2.48
Raw PDF,,,,,,,,,,,,,
