Metric,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3.36,39.50,3.58,3.48,0.94,3.68,1.24,1.23,1.29
  └─ YOY Sales Growth %,,,,3.57%,,-90.68%,-65.36%,-64.66%,37.23%
Expenses,2.44,1.42,18.50,27.14,31.76,0.59,12.37,0.51,5.82
  └─ Employee Cost %,0.00%,0.20%,0.00%,2.59%,0.00%,3.26%,9.68%,9.76%,11.63%
Operating Profit,0.92,38.08,-14.92,-23.66,-30.82,3.09,-11.13,0.72,-4.53
OPM %,27.38%,96.41%,-416.76%,-679.89%,-3278.72%,83.97%,-897.58%,58.54%,-351.16%
Other Income,0.06,0.00,0.00,0.02,0.15,0.00,0.50,0.00,0.00
  └─ Other income normal,0.06,0.00,0.00,0.02,0.15,0.00,0.50,0.00,0.00
Interest,1.27,1.09,0.69,0.72,0.76,0.77,0.00,0.00,-0.77
Depreciation,0.17,0.19,0.19,0.19,0.19,0.15,0.15,0.15,0.15
Profit before tax,-0.46,36.80,-15.80,-24.55,-31.62,2.17,-10.78,0.57,-3.91
Tax %,0.00%,15.76%,-6.20%,-0.08%,-15.31%,0.00%,0.00%,0.00%,-112.02%
Net Profit,-0.46,31.01,-14.82,-24.53,-26.78,2.17,-10.78,0.57,0.47
  └─ Profit excl Excep,-0,31,-15,-25,-27,2,-11,1,0
  └─ Profit for PE,-0,31,-15,-25,-27,2,-11,1,0
  └─ Profit for EPS,-0,31,-15,-25,-27,2,-11,1,0
  └─ YOY Profit Growth %,,,,-5233%,,-93%,27%,102%,102%
EPS in Rs,-0.00,0.19,-0.09,-0.15,-0.16,0.01,-0.07,0.00,0.00
Raw PDF,,,,,,,,,
