Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,65,62,59,61,54,68,63,62,34,82
  └─ YOY Sales Growth %,,,,,-16.72%,9.66%,6.38%,0.86%,-37.44%,19.64%
Expenses,36,36,33,38,38,41,43,43,32,47
  └─ Material Cost %,24.30%,16.10%,24.12%,18.78%,22.50%,22.07%,26.97%,26.44%,21.89%,22.04%
  └─ Employee Cost %,12.35%,16.09%,17.67%,20.98%,24.64%,13.72%,20.11%,21.07%,35.91%,19.05%
Operating Profit,29,26,26,23,16,28,20,19,2,35
OPM %,44%,42%,43%,38%,29%,40%,31%,30%,5%,43%
Other Income,1,2,2,5,8,10,11,10,11,15
  └─ Other income normal,1.49,1.80,1.82,5.08,7.71,10.16,11.44,9.87,10.90,14.76
Interest,1,2,1,1,1,1,1,1,2,11
Depreciation,1,1,2,2,3,4,6,6,7,7
Profit before tax,28,25,25,25,19,33,24,21,4,32
Tax %,28%,21%,17%,27%,20%,10%,21%,24%,38%,17%
Net Profit,20,20,21,18,16,29,19,16,2,26
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,-0.06,-0.04,-0.11,-0.10,-0.17
  └─ Profit excl Excep,20.38,19.72,20.63,18.05,15.57,29.20,19.12,15.67,2.39,26.10
  └─ Profit for PE,20.38,19.72,20.63,18.05,15.57,29.20,19.12,15.67,2.39,26.10
  └─ Profit for EPS,20.38,19.72,20.63,18.05,15.57,29.20,19.12,15.67,2.39,26.10
  └─ YOY Profit Growth %,,,,,-23.60%,48.07%,-7.32%,-13.19%,-84.65%,-10.62%
EPS in Rs,4.63,4.48,4.69,3.79,3.06,5.74,3.76,3.08,0.47,5.13
Raw PDF,,,,,,,,,,
