Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,24.91,34.47,49.75,65.40,55.63,51.84,59.20,59.26
  └─ YOY Sales Growth %,,,,,123.32%,50.39%,18.99%,-9.39%
Expenses,10.90,16.34,25.67,34.09,29.24,25.42,35.29,26.78
  └─ Material Cost %,16.78%,20.16%,30.57%,39.65%,30.20%,23.30%,31.37%,29.50%
  └─ Employee Cost %,9.84%,10.01%,7.34%,7.05%,8.34%,9.93%,8.73%,8.00%
Operating Profit,14.01,18.13,24.08,31.31,26.39,26.42,23.91,32.48
OPM %,56.24%,52.60%,48.40%,47.87%,47.44%,50.96%,40.39%,54.81%
Other Income,0.22,14.33,2.26,2.94,1.32,2.71,2.85,2.94
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,1.33,-1.15
  └─ Other income normal,0.22,14.33,2.26,2.94,1.32,2.71,1.52,4.09
Interest,8.76,11.38,12.21,15.18,12.26,12.64,9.25,10.28
Depreciation,11.13,14.44,13.32,16.54,14.51,14.80,14.94,14.64
Profit before tax,-5.66,6.64,0.81,2.53,0.94,1.69,2.57,10.50
Tax %,5.48%,6.02%,13.58%,16.60%,85.11%,-3.55%,139.30%,24.10%
Net Profit,-5.97,6.24,0.69,2.12,0.14,1.76,-1.01,7.96
  └─ Minority share,0,-0,-0,-0,-0,0,0,-0
  └─ Exceptional items AT,0,0,0,0,0,0,-1,-1
  └─ Profit excl Excep,-6,6,1,2,0,2,-0,9
  └─ Profit for PE,-6,6,1,2,0,2,-0,9
  └─ Profit for EPS,-6,6,1,2,0,2,-1,8
  └─ YOY Profit Growth %,,,,,102%,-72%,-171%,317%
EPS in Rs,-4294.96,0.93,0.10,0.31,0.02,0.20,-0.11,0.88
Raw PDF,,,,,,,,
