Metric,Dec 2023,Mar 2024,Jun 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,44.94,84.23,44.44,103.98,36.61,30.85,107.05,69.94,29.27
  └─ YOY Sales Growth %,,,,131.38%,-56.54%,-30.58%,,-32.74%,-20.05%
Expenses,14.84,34.97,17.76,33.06,23.42,24.82,31.15,37.13,23.23
  └─ Employee Cost %,26%,37%,31%,27%,53%,56%,24%,43%,59%
Operating Profit,30.10,49.26,26.68,70.92,13.19,6.03,75.90,32.81,6.04
OPM %,66.98%,58.48%,60.04%,68.21%,36.03%,19.55%,70.90%,46.91%,20.64%
Other Income,0.00,0.49,1.83,0.03,0.00,0.03,0.00,0.00,0.00
  └─ Other income normal,0.00,0.49,1.83,0.03,0.00,0.03,0.00,0.00,0.00
Interest,0.30,0.32,0.30,0.37,1.46,2.25,2.25,2.23,2.21
Depreciation,1.63,1.66,1.66,1.28,2.61,3.38,3.65,3.61,3.62
Profit before tax,28.17,47.77,26.55,69.30,9.12,0.43,70.00,26.97,0.21
Tax %,25.13%,30.88%,16.69%,25.67%,6.80%,46.51%,25.50%,25.62%,-19.05%
Net Profit,21.09,33.02,22.12,51.51,8.50,0.23,52.15,20.06,0.25
  └─ Profit excl Excep,21,33,22,52,8,0,52,20,0
  └─ Profit for PE,21,33,22,52,8,0,52,20,0
  └─ Profit for EPS,21,33,22,52,8,0,52,20,0
  └─ YOY Profit Growth %,,,,144%,-74%,-99%,,-61%,-97%
EPS in Rs,,,,7.29,1.20,0.03,7.38,2.84,0.04
Raw PDF,,,,,,,,,
