Metric,Mar 2022,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,3.22,0.11,4.36,1.82,5.13,3.40,1.51,2.83,5.20,9.38,0.70,6.55
  └─ YOY Sales Growth %,,,,-43%,4564%,,-65%,55%,1%,176%,-54%,131%
Expenses,3.75,0.36,3.91,1.30,4.62,3.48,0.92,0.67,3.87,7.92,1.10,5.34
  └─ Material Cost %,99%,-0%,76%,47%,79%,77%,15%,6%,55%,79%,14%,71%
  └─ Employee Cost %,1%,118%,6%,16%,5%,11%,19%,10%,5%,3%,93%,10%
Operating Profit,-0.53,-0.25,0.45,0.52,0.51,-0.08,0.59,2.16,1.33,1.46,-0.40,1.21
OPM %,-16.46%,-227.27%,10.32%,28.57%,9.94%,-2.35%,39.07%,76.33%,25.58%,15.57%,-57.14%,18.47%
Other Income,0.39,0.46,0.96,0.91,0.95,1.07,0.88,1.08,0.98,1.15,1.50,1.26
  └─ Other income normal,0.39,0.46,0.96,0.91,0.95,1.07,0.88,1.08,0.98,1.15,1.50,1.26
Interest,0.00,0.00,0.00,0.01,0.00,0.07,0.00,0.01,0.00,0.00,0.00,0.01
Depreciation,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.05
Profit before tax,-0.14,0.21,1.41,1.40,1.46,0.92,1.47,3.15,2.31,2.61,1.10,2.41
Tax %,114.29%,42.86%,0.00%,32.86%,26.71%,34.78%,20.41%,26.67%,25.11%,22.61%,16.36%,37.34%
Net Profit,-0.30,0.12,1.41,0.93,1.06,0.61,1.16,2.31,1.72,2.03,0.91,1.50
  └─ Minority share,0.00,0.00,0.00,0.00,0.03,0.05,0.06,0.02,0.01,0.02,0.01,0.01
  └─ Profit excl Excep,-0.30,0.12,1.41,0.93,1.06,0.61,1.16,2.31,1.72,2.03,0.91,1.50
  └─ Profit for PE,-0.30,0.12,1.41,0.93,1.09,0.66,1.22,2.33,1.73,2.05,0.92,1.51
  └─ Profit for EPS,-0.30,0.12,1.41,0.93,1.09,0.66,1.22,2.33,1.73,2.05,0.92,1.51
  └─ YOY Profit Growth %,,,,410.00%,808.33%,,-13.48%,150.54%,58.72%,210.61%,-24.59%,-35.19%
EPS in Rs,-0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.02,0.01,0.02,0.01,0.01
Raw PDF,,,,,,,,,,,,
