Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Sales,2.62,2.52,2.66,2.05,2.48,2.19,2.51,4.35,2.46,1.11,0.69,1.36,1.24
  └─ YOY Sales Growth %,27.80%,0.80%,4.31%,-15.98%,-5.34%,-13.10%,-5.64%,112.20%,-0.81%,-49.32%,-72.51%,-68.74%,-49.59%
Expenses,2.92,2.68,2.76,2.20,2.63,2.44,5.79,4.52,2.31,2.08,2.33,1.50,1.43
  └─ Material Cost %,73%,110%,52%,72%,72%,79%,80%,89%,76%,123%,190%,82%,87%
  └─ Employee Cost %,10%,10%,9%,11%,12%,11%,9%,5%,6%,14%,29%,10%,16%
Operating Profit,-0.30,-0.16,-0.10,-0.15,-0.15,-0.25,-3.28,-0.17,0.15,-0.97,-1.64,-0.14,-0.19
OPM %,-11.45%,-6.35%,-3.76%,-7.32%,-6.05%,-11.42%,-130.68%,-3.91%,6.10%,-87.39%,-237.68%,-10.29%,-15.32%
Other Income,0.20,0.14,0.21,0.12,0.07,0.11,0.05,0.17,0.32,0.07,0.13,0.07,0.06
  └─ Other income normal,0.20,0.14,0.21,0.12,0.07,0.11,0.05,0.17,0.32,0.07,0.13,0.07,0.06
Interest,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.05,0.05,0.04,0.05,0.03,0.08,0.06,0.05,0.04,0.04,-0.03,0.02,0.02
Profit before tax,-0.18,-0.10,0.05,-0.10,-0.13,-0.23,-3.30,-0.05,0.43,-0.94,-1.48,-0.09,-0.15
Tax %,-5.56%,10.00%,40.00%,-10.00%,15.38%,0.00%,0.00%,60.00%,20.93%,-22.34%,6.08%,0.00%,0.00%
Net Profit,-0.17,-0.11,0.03,-0.09,-0.15,-0.23,-3.29,-0.08,0.35,-0.73,-1.57,-0.09,-0.15
  └─ Minority share,0,-0,0,0,-0,0,0,-0,-0,0,0,0,0
  └─ Profit excl Excep,-0,-0,0,-0,-0,-0,-3,-0,0,-1,-2,-0,-0
  └─ Profit for PE,-0,-0,0,-0,-0,-0,-3,-0,0,-1,-1,-0,-0
  └─ Profit for EPS,-0,-0,0,-0,-0,-0,-3,-0,0,-1,-1,-0,-0
  └─ YOY Profit Growth %,-467%,8%,-40%,-350%,0%,-75%,-11033%,-67%,288%,-195%,59%,53%,-141%
EPS in Rs,-0.21,-0.15,0.04,-0.11,-0.21,-0.26,-4.05,-0.19,0.40,-0.77,-1.67,-0.09,-0.16
Raw PDF,,,,,,,,,,,,,
