Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,65.53,72.40,59.26,86.09,77.89,82.98,74.00,89.77,89.21,90.00,83.19,113.66,130.30
  └─ YOY Sales Growth %,-10.50%,-16.77%,-22.99%,32.34%,18.86%,14.61%,24.87%,4.27%,14.53%,8.46%,12.42%,26.61%,46.06%
Expenses,63.29,71.65,56.60,82.88,75.41,78.72,69.33,83.55,85.49,91.78,83.10,103.49,121.17
  └─ Material Cost %,34%,40%,27%,50%,48%,43%,34%,43%,48%,54%,43%,43%,50%
  └─ Employee Cost %,17%,16%,19%,14%,16%,15%,17%,15%,14%,14%,15%,12%,11%
Operating Profit,2.24,0.75,2.66,3.21,2.48,4.26,4.67,6.22,3.72,-1.78,0.09,10.17,9.13
OPM %,3.42%,1.04%,4.49%,3.73%,3.18%,5.13%,6.31%,6.93%,4.17%,-1.98%,0.11%,8.95%,7.01%
Other Income,2.21,3.10,0.74,1.28,3.93,2.18,1.20,1.45,1.50,1.09,6.50,0.33,2.16
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.76,-0.95,0.00
  └─ Other income normal,2.21,3.10,0.74,1.28,3.93,2.18,1.20,1.45,1.50,1.09,0.74,1.28,2.16
Interest,0.27,0.76,1.24,1.05,0.36,0.63,0.77,0.76,1.91,1.96,1.94,1.83,1.11
Depreciation,1.33,1.16,1.19,1.28,1.56,1.23,1.27,1.27,1.26,1.32,1.38,1.48,1.47
Profit before tax,2.85,1.93,0.97,2.16,4.49,4.58,3.83,5.64,2.05,-3.97,3.27,7.19,8.71
Tax %,47.02%,21.24%,8.25%,-21.76%,-25.61%,19.87%,1.31%,14.54%,-10.24%,-17.63%,14.37%,-5.98%,31.00%
Net Profit,1.51,1.52,0.89,2.63,5.64,3.67,3.78,4.82,2.26,-3.27,2.80,7.62,6.01
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,5,-1,0
  └─ Profit excl Excep,2,2,1,3,6,4,4,5,2,-3,-2,9,6
  └─ Profit for PE,2,2,1,3,6,4,4,5,2,-3,-2,9,6
  └─ Profit for EPS,2,2,1,3,6,4,4,5,2,-3,3,8,6
  └─ YOY Profit Growth %,-68%,-80%,-76%,42%,274%,141%,325%,83%,-60%,-189%,-152%,77%,166%
EPS in Rs,1.93,1.94,1.14,3.36,7.21,4.69,4.83,6.17,2.89,-4.18,3.58,9.75,7.69
Raw PDF,,,,,,,,,,,,,
