Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,242.60,199.00,209.87,247.17,257.66,196.32,236.92,240.27,238.97
  └─ YOY Sales Growth %,,,,,6.21%,-1.35%,12.89%,-2.79%,-7.25%
Expenses,213.15,178.37,188.09,220.19,244.34,175.14,206.56,212.28,230.82
  └─ Material Cost %,54%,52%,52%,52%,58%,49%,50%,51%,54%
  └─ Employee Cost %,8%,11%,10%,9%,9%,12%,11%,12%,10%
Operating Profit,29.45,20.63,21.78,26.98,13.32,21.18,30.36,27.99,8.15
OPM %,12.14%,10.37%,10.38%,10.92%,5.17%,10.79%,12.81%,11.65%,3.41%
Other Income,2.55,1.56,2.81,0.00,2.90,1.01,3.00,2.66,9.37
  └─ Other income normal,2.55,1.56,2.81,0.00,2.90,1.01,3.00,2.66,9.37
Interest,6.81,7.37,8.63,8.18,8.06,6.88,9.99,7.16,6.44
Depreciation,3.15,2.77,2.97,3.65,3.72,3.20,3.45,3.51,3.82
Profit before tax,22.04,12.05,12.99,15.15,4.44,12.11,19.92,19.98,7.26
Tax %,27.81%,27.05%,18.63%,27.99%,63.29%,27.33%,37.80%,14.41%,29.06%
Net Profit,15.91,8.78,10.57,10.90,1.61,8.81,12.39,17.10,5.14
  └─ Profit from Associates,0,0,0,0,-0,0,-0,-0,-0
  └─ Profit excl Excep,16,9,11,11,2,9,12,17,5
  └─ Profit for PE,16,9,11,11,2,9,12,17,5
  └─ Profit for EPS,16,9,11,11,2,9,12,17,5
  └─ YOY Profit Growth %,,,,,-90%,0%,17%,57%,219%
EPS in Rs,3.06,1.69,2.03,2.10,0.31,1.69,2.38,3.29,0.99
Raw PDF,,,,,,,,,
