Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,46.07,42.35,48.92,47.61
Expenses,39.72,38.84,42.00,41.45
  └─ Material Cost %,51%,56%,55%,53%
  └─ Employee Cost %,16%,17%,15%,14%
Operating Profit,6.35,3.51,6.92,6.16
OPM %,13.78%,8.29%,14.15%,12.94%
Other Income,0.99,1.88,0.61,0.26
  └─ Other income normal,0.99,1.88,0.61,0.26
Interest,0.72,0.69,0.81,0.66
Depreciation,0.49,0.70,0.66,1.53
Profit before tax,6.13,4.00,6.06,4.23
Tax %,25.29%,25.75%,30.20%,24.82%
Net Profit,4.58,2.98,4.23,3.18
  └─ Profit excl Excep,4.58,2.98,4.23,3.18
  └─ Profit for PE,4.58,2.98,4.23,3.18
  └─ Profit for EPS,4.58,2.98,4.23,3.18
EPS in Rs,3.37,2.19,3.11,2.34
Raw PDF,,,,
