Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,13.29,19.49,18.08,21.27,21.48,24.95,21.51,23.33
  └─ YOY Sales Growth %,,,,,61.63%,28.01%,18.97%,9.69%
Expenses,12.89,18.48,17.20,20.50,21.14,22.99,18.98,21.22
  └─ Material Cost %,94%,93%,92%,90%,94%,88%,83%,85%
  └─ Employee Cost %,1%,1%,1%,1%,1%,2%,3%,4%
Operating Profit,0.40,1.01,0.88,0.77,0.34,1.96,2.53,2.11
OPM %,3.01%,5.18%,4.87%,3.62%,1.58%,7.86%,11.76%,9.04%
Other Income,1.02,0.02,0.00,-0.12,0.19,0.00,0.00,1.19
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.19
  └─ Other income normal,1.02,0.02,0.00,-0.12,0.19,0.00,0.00,0.00
Interest,0.01,0.06,0.10,0.00,0.09,0.02,0.48,0.63
Depreciation,0.32,0.27,0.27,0.14,0.33,0.52,0.67,1.10
Profit before tax,1.09,0.70,0.51,0.51,0.11,1.42,1.38,1.57
Tax %,34.86%,37.14%,33.33%,-11.76%,72.73%,31.69%,39.86%,70.70%
Net Profit,0.70,0.44,0.34,0.58,0.03,0.97,0.83,0.46
  └─ Exceptional items AT,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,1,0,0,1,0,1,1,0
  └─ Profit for PE,1,0,0,1,0,1,1,0
  └─ Profit for EPS,1,0,0,1,0,1,1,0
  └─ YOY Profit Growth %,,,,,-96%,120%,144%,-81%
EPS in Rs,0.02,0.01,0.01,0.01,0.00,0.02,0.02,0.01
Raw PDF,,,,,,,,
