Metric,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,136.92,115.74,95.84,102.87,107.96,142.62,146.51,123.00,149.29,164.90,164.38,145.12,166.00
  └─ YOY Sales Growth %,16.65%,-1.93%,-14.85%,-11.56%,-21.15%,,,,,15.62%,12.20%,17.98%,11.19%
Expenses,124.80,104.91,89.95,91.83,94.73,126.47,129.74,109.96,133.52,144.42,144.45,132.33,144.64
  └─ Material Cost %,69%,67%,67%,64%,66%,61%,61%,61%,61%,61%,60%,60%,59%
  └─ Employee Cost %,5%,6%,7%,7%,6%,8%,7%,8%,8%,7%,7%,10%,8%
Operating Profit,12.12,10.83,5.89,11.04,13.23,16.15,16.77,13.04,15.77,20.48,19.93,12.79,21.36
OPM %,8.85%,9.36%,6.15%,10.73%,12.25%,11.32%,11.45%,10.60%,10.56%,12.42%,12.12%,8.81%,12.87%
Other Income,0.13,0.21,0.43,0.35,0.17,1.67,0.36,0.97,-0.29,0.41,0.48,-1.53,3.56
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,-1.55,0.00,0.00,-2.00,0.65
  └─ Other income normal,0.13,0.21,0.43,0.35,0.17,0.90,0.36,0.97,1.26,0.41,0.48,0.47,2.91
Interest,4.55,4.36,2.74,3.09,2.96,3.95,4.10,3.90,4.20,4.59,4.82,4.57,4.66
Depreciation,3.84,3.76,4.81,4.01,3.88,8.68,9.09,9.06,9.63,9.76,9.93,10.00,10.02
Profit before tax,3.86,2.92,-1.23,4.29,6.56,5.19,3.94,1.05,1.65,6.54,5.66,-3.31,10.24
Tax %,35.49%,24.32%,-86.99%,29.37%,20.27%,25.05%,29.70%,-19.05%,38.18%,27.37%,26.50%,-20.85%,13.18%
Net Profit,2.49,2.20,-0.17,3.03,5.24,3.89,2.78,1.26,1.01,4.75,4.17,-2.62,8.89
  └─ Minority share,-0,0,0,0,-0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,1,0,0,-1,0,0,-2,1
  └─ Profit excl Excep,2,2,-0,3,5,3,3,1,2,5,4,-1,8
  └─ Profit for PE,2,2,0,3,5,3,3,1,2,5,4,-1,8
  └─ Profit for EPS,2,2,0,3,5,4,3,1,1,5,4,-3,9
  └─ YOY Profit Growth %,67%,10%,-90%,58%,99%,,,,,43%,50%,-149%,326%
EPS in Rs,1.63,1.54,0.11,2.11,3.24,2.26,1.62,0.73,0.59,2.77,2.43,-1.53,5.18
Raw PDF,,,,,,,,,,,,,
