Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,19.18,21.38,23.54,35.24,34.43,22.61
Expenses,13.85,20.34,18.56,29.92,27.02,22.04
  └─ Material Cost %,49%,42%,35%,67%,50%,62%
  └─ Employee Cost %,8%,8%,7%,5%,6%,9%
Operating Profit,5.33,1.04,4.98,5.32,7.41,0.57
OPM %,27.79%,4.86%,21.16%,15.10%,21.52%,2.52%
Other Income,0.37,2.10,0.69,0.36,0.36,1.17
  └─ Other income normal,0.37,2.10,0.69,0.36,0.36,1.17
Interest,0.71,0.85,0.28,0.54,0.58,0.50
Depreciation,1.88,0.06,1.13,1.33,1.17,1.21
Profit before tax,3.11,2.23,4.26,3.81,6.02,0.03
Tax %,25.08%,24.22%,26.06%,24.15%,25.08%,0.00%
Net Profit,2.33,1.83,3.15,3.11,4.64,0.15
  └─ Profit from Associates,0.00,0.13,0.00,0.21,0.13,0.13
  └─ Profit excl Excep,2.33,1.83,3.15,3.11,4.64,0.15
  └─ Profit for PE,2.33,1.83,3.15,3.11,4.64,0.15
  └─ Profit for EPS,2.33,1.83,3.15,3.11,4.64,0.15
EPS in Rs,,1.16,1.44,1.43,2.13,0.07
Raw PDF,,,,,,
