Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,778.59,958.15,819.12,903.47,797.87,944.63,837.14,918.79,788.21,941.85,801.33,944.68,827.63
  └─ YOY Sales Growth %,17.04%,1.60%,-1.28%,0.36%,2.48%,-1.41%,2.20%,1.70%,-1.21%,-0.29%,-4.28%,2.82%,5.00%
Expenses,596.53,718.63,637.47,721.03,615.59,760.02,663.08,719.28,610.37,743.03,656.39,732.63,676.88
  └─ Material Cost %,41.59%,45.25%,41.95%,43.94%,39.87%,45.17%,43.00%,43.81%,41.21%,46.51%,44.60%,44.00%,43.57%
  └─ Employee Cost %,13.35%,10.94%,12.92%,11.37%,13.36%,12.79%,13.60%,11.26%,15.77%,12.35%,13.90%,11.79%,13.67%
Operating Profit,182.06,239.52,181.65,182.44,182.28,184.61,174.06,199.51,177.84,198.82,144.94,212.05,150.75
OPM %,23.38%,25.00%,22.18%,20.19%,22.85%,19.54%,20.79%,21.71%,22.56%,21.11%,18.09%,22.45%,18.21%
Other Income,9.94,13.27,-25.40,11.05,21.90,150.53,17.72,-0.92,22.80,12.21,13.16,13.11,-8.31
  └─ Exceptional items,0.00,0.00,-40.90,0.00,0.00,133.95,0.00,-10.78,0.00,-4.78,-8.27,-7.93,-28.06
  └─ Other income normal,9.94,13.27,15.50,11.05,21.90,16.58,17.72,9.86,22.80,16.99,21.43,21.04,19.75
Interest,27.21,28.14,28.44,29.46,30.96,30.81,31.79,31.11,34.76,34.87,33.83,32.29,33.63
Depreciation,76.50,81.09,81.71,85.99,90.29,87.21,90.21,90.18,103.70,106.09,104.98,104.00,105.00
Profit before tax,88.29,143.56,46.10,78.04,82.93,217.12,69.78,77.30,62.18,70.07,19.29,88.87,3.81
Tax %,25.68%,25.54%,26.27%,25.69%,23.25%,19.83%,25.51%,24.08%,26.15%,25.79%,27.94%,25.62%,41.99%
Net Profit,65.62,106.89,33.99,57.98,63.65,174.06,51.98,58.70,45.92,52.00,13.90,66.10,2.21
  └─ Exceptional items AT,0,0,-25,0,0,105,0,-7,0,-3,-5,-6,-17
  └─ Profit excl Excep,66,107,59,58,64,69,52,66,46,55,19,72,19
  └─ Profit for PE,66,107,59,58,64,69,52,66,46,55,19,72,19
  └─ Profit for EPS,66,107,34,58,64,174,52,59,46,52,14,66,2
  └─ YOY Profit Growth %,4%,-10%,7%,-30%,-3%,-35%,-11%,14%,-28%,-20%,-64%,9%,-59%
EPS in Rs,5.11,8.32,2.64,4.51,4.95,13.54,4.04,4.57,3.57,4.05,1.08,5.14,0.17
Raw PDF,,,,,,,,,,,,,
