Metric,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015
Sales,121.22,119.88,176.12,153.70,122.38,129.17,100.67
  └─ YOY Sales Growth %,,,,,0.96%,7.75%,-42.84%
Expenses,123.82,119.10,180.97,139.76,122.39,131.32,104.22
  └─ Material Cost %,82%,80%,78%,80%,78%,78%,80%
  └─ Employee Cost %,3%,3%,2%,1%,3%,3%,4%
Operating Profit,-2.60,0.78,-4.85,13.94,-0.01,-2.15,-3.55
OPM %,-2.14%,0.65%,-2.75%,9.07%,-0.01%,-1.66%,-3.53%
Other Income,0.80,0.30,9.94,2.94,0.25,7.83,0.31
  └─ Exceptional items,0.00,0.00,0.75,1.25,0.00,7.33,0.00
  └─ Other income normal,0.80,0.30,9.19,1.69,0.25,0.50,0.31
Interest,1.94,5.44,8.45,5.57,5.39,5.01,4.56
Depreciation,2.51,2.54,-2.85,0.80,0.64,0.64,0.84
Profit before tax,-6.25,-6.90,-0.51,10.51,-5.79,0.03,-8.64
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-6.25,-6.90,-0.50,10.51,-5.79,0.03,-8.64
  └─ Exceptional items AT,0,0,1,1,0,7,0
  └─ Profit excl Excep,-6,-7,-1,9,-6,-7,-9
  └─ Profit for PE,-6,-7,-1,9,-6,-7,-9
  └─ Profit for EPS,-6,-7,-0,11,-6,0,-9
  └─ YOY Profit Growth %,,,,,7%,-6%,-591%
EPS in Rs,-0.24,-0.27,-0.02,0.41,-0.23,0.00,-0.34
Raw PDF,,,,,,,
