Metric,Jun 2009,Sep 2009
Sales,7.12,11.39
Expenses,6.33,10.63
  └─ Material Cost %,84%,91%
  └─ Employee Cost %,1%,0%
Operating Profit,0.79,0.76
OPM %,11.10%,6.67%
Other Income,0.10,0.22
  └─ Other income normal,0.10,0.22
Interest,0.01,0.01
Depreciation,0.13,0.13
Profit before tax,0.75,0.84
Tax %,33.33%,34.52%
Net Profit,0.50,0.55
  └─ Profit excl Excep,0.50,0.55
  └─ Profit for PE,0.50,0.55
  └─ Profit for EPS,0.50,0.55
EPS in Rs,0.05,0.05
Raw PDF,,
