Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,393,371,406,364,401,406,463,480,422,425,460,471,454
  └─ YOY Sales Growth %,18.92%,8.42%,12.23%,-3.84%,2.02%,9.23%,13.96%,31.93%,5.45%,4.71%,-0.47%,-1.76%,7.45%
Expenses,329,310,341,309,330,334,386,409,350,352,391,390,384
  └─ Material Cost %,60%,58%,58%,58%,56%,56%,57%,60%,55%,56%,59%,57%,58%
  └─ Employee Cost %,8%,10%,9%,10%,9%,10%,9%,9%,10%,11%,10%,11%,11%
Operating Profit,64,61,65,55,70,71,77,71,72,73,69,81,69
OPM %,16%,17%,16%,15%,18%,18%,17%,15%,17%,17%,15%,17%,15%
Other Income,2,1,3,7,1,2,1,12,4,2,9,-9,9
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.58,-2.22
  └─ Other income normal,1.96,0.57,2.77,6.72,0.51,1.63,0.63,11.99,3.66,2.31,9.09,2.57,11.41
Interest,13,14,13,15,14,13,14,15,18,26,20,15,18
Depreciation,17,16,18,18,19,19,19,19,18,20,22,21,21
Profit before tax,36,32,37,28,38,41,45,48,39,29,37,35,40
Tax %,32%,26%,22%,31%,24%,23%,20%,22%,4%,23%,23%,29%,46%
Net Profit,24,24,28,19,29,32,36,38,38,22,29,25,22
  └─ Minority share,0.16,0.18,0.03,-0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.78,-1.20
  └─ Profit excl Excep,24.15,23.60,28.37,19.45,28.64,31.72,35.54,37.73,38.02,22.32,28.72,32.82,22.92
  └─ Profit for PE,24.31,23.78,28.40,19.24,28.64,31.72,35.54,37.73,38.02,22.32,28.72,32.82,22.92
  └─ Profit for EPS,24.31,23.78,28.40,19.24,28.64,31.72,35.54,37.73,38.02,22.32,28.72,25.04,21.72
  └─ YOY Profit Growth %,43.85%,4.62%,27.41%,-21.34%,17.81%,33.39%,25.14%,96.10%,32.75%,-29.63%,-19.19%,-13.01%,-39.72%
EPS in Rs,26.71,26.13,31.21,21.14,31.47,34.86,39.05,41.46,41.78,24.53,31.56,27.52,23.87
Raw PDF,,,,,,,,,,,,,
