Metric,Sep 2023,Sep 2024
  └─ Material Cost %,47.67%,13.04%
  └─ Employee Cost %,30.43%,36.19%
  └─ Other income normal,0.11,0.13
  └─ Profit excl Excep,-2.15,0.35
  └─ Profit for PE,-2.15,0.35
  └─ Profit for EPS,-2.15,0.35
