Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,7,11,19,22,37,50,84
Expenses,7,9,17,17,32,39,77
  └─ Material Cost %,76%,51%,54%,43%,59%,60%,79%
  └─ Employee Cost %,4%,5%,7%,6%,4%,4%,2%
Operating Profit,1,2,2,5,5,11,7
OPM %,8%,15%,11%,21%,14%,22%,8%
Other Income,0,0,0,0,1,0,1
  └─ Other income normal,0.01,0.19,0.28,0.12,1.01,0.47,1.30
Interest,0,0,0,0,1,1,1
Depreciation,0,0,0,1,1,3,3
Profit before tax,1,2,2,4,5,8,4
Tax %,25%,26%,12%,30%,4%,34%,31%
Net Profit,0,1,2,3,5,5,3
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,0.01,0.00
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,-0.81,-0.40
  └─ Profit excl Excep,0.40,1.23,1.61,2.66,4.53,5.31,2.81
  └─ Profit for PE,0.40,1.23,1.61,2.66,4.53,4.50,2.41
  └─ Profit for EPS,0.40,1.23,1.61,2.66,4.53,4.50,2.41
EPS in Rs,,3.97,3.83,5.37,7.49,6.72,2.98
Raw PDF,,,,,,,
