Metric,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2022,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Dec 2011
Sales,1850,1726,1746,1975,2098,2912,3365,3010,3175,3311,3423,3184,
  └─ YOY Sales Growth %,,,,,,,,,,13.69%,1.73%,5.78%,
Expenses,1705,1602,1622,1787,1898,2372,2708,2450,2761,2810,2896,2776,
  └─ Material Cost %,66%,62%,61%,63%,61%,54%,56%,54%,58%,59%,58%,58%,
  └─ Employee Cost %,9%,8%,8%,9%,7%,7%,6%,8%,7%,7%,8%,8%,
Operating Profit,146,124,123,188,200,540,657,560,414,500,527,408,
OPM %,8%,7%,7%,10%,10%,19%,20%,19%,13%,15%,15%,13%,
Other Income,46,81,73,41,25,93,83,110,99,84,89,1541,
  └─ Exceptional items,0,0,0,0,0,-0,-4,17,-0,0,12,1442,
  └─ Other income normal,46,81,73,41,25,93,87,92,100,84,76,100,
Interest,3,10,4,1,3,3,5,5,4,6,5,4,
Depreciation,23,22,23,26,26,33,34,34,36,37,39,42,
Profit before tax,166,173,169,201,196,597,702,631,474,542,571,1904,
Tax %,30%,25%,20%,60%,26%,26%,25%,25%,26%,25%,24%,6%,
Net Profit,116,130,135,80,146,440,528,475,352,409,433,1784,
  └─ Exceptional items AT,0,0,0,0,0,-0,-4,17,-0,0,12,1442,0
  └─ Profit excl Excep,116,130,135,80,146,440,532,457,352,409,420,342,64
  └─ Profit for PE,116,130,135,80,146,440,532,457,352,409,420,342,64
  └─ Profit for EPS,116,130,135,80,146,440,528,475,352,409,433,1784,64
  └─ YOY Profit Growth %,,,,,,,,,,-7%,-21%,-25%,
EPS in Rs,5.48,6.15,6.38,3.76,6.87,20.79,24.94,22.40,16.60,19.30,20.43,84.17,
Raw PDF,,,,,,,,,,,,,
