Metric,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022
Sales,235.64,83.29,136.14,183.42,222.37,145.86,215.53,226.54,252.83
  └─ YOY Sales Growth %,,,,,-5.63%,75.12%,58.31%,23.51%,13.70%
Expenses,226.97,76.37,127.40,169.77,201.94,134.28,201.53,212.08,234.59
  └─ Material Cost %,78%,62%,68%,70%,70%,67%,74%,73%,72%
  └─ Employee Cost %,5%,12%,9%,7%,6%,9%,7%,7%,6%
Operating Profit,8.67,6.92,8.74,13.65,20.43,11.58,14.00,14.46,18.24
OPM %,3.68%,8.31%,6.42%,7.44%,9.19%,7.94%,6.50%,6.38%,7.21%
Other Income,0.07,0.86,1.12,1.44,-9.97,0.93,0.89,0.34,-6.01
  └─ Exceptional items,-0.12,0.00,0.00,0.00,-10.03,0.00,0.00,0.00,-5.83
  └─ Other income normal,0.19,0.86,1.12,1.44,0.06,0.93,0.89,0.34,-0.18
Interest,3.37,3.73,3.88,3.28,2.70,2.68,2.56,2.51,2.38
Depreciation,2.13,2.12,2.14,2.18,2.23,2.30,2.34,2.34,2.28
Profit before tax,3.24,1.93,3.84,9.63,5.53,7.53,9.99,9.95,7.57
Tax %,29.32%,25.39%,34.64%,25.44%,28.75%,25.90%,23.52%,22.81%,28.53%
Net Profit,2.31,1.44,2.51,7.18,3.94,5.58,7.65,7.68,5.41
  └─ Exceptional items AT,-0.06,0.00,0.00,0.00,-7.13,0.00,0.00,0.00,-3.60
  └─ Profit excl Excep,2.37,1.44,2.51,7.18,11.07,5.58,7.65,7.68,9.01
  └─ Profit for PE,2.37,1.44,2.51,7.18,11.07,5.58,7.65,7.68,9.01
  └─ Profit for EPS,2.31,1.44,2.51,7.18,3.94,5.58,7.65,7.68,5.41
  └─ YOY Profit Growth %,,,,,367.09%,287.50%,204.78%,6.96%,-18.61%
EPS in Rs,0.09,0.05,0.09,0.27,0.15,0.21,0.28,0.29,0.20
Raw PDF,,,,,,,,,
