Metric,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022
Sales,22.41,20.80,10.60,23.55,24.70,30.02,21.40,33.35,31.92,33.76,34.89,38.28,39.68
  └─ YOY Sales Growth %,-15.21%,-31.33%,-53.69%,-7.32%,10.22%,44.33%,101.89%,41.61%,29.23%,12.46%,63.04%,14.78%,24.31%
Expenses,19.66,18.24,10.14,19.73,19.80,24.12,18.40,25.39,25.04,26.44,28.13,29.57,31.56
  └─ Material Cost %,45.43%,44.76%,41.98%,47.22%,42.23%,46.34%,41.54%,43.39%,44.58%,44.93%,43.28%,47.02%,46.02%
  └─ Employee Cost %,16.51%,16.63%,28.49%,15.37%,14.41%,13.52%,18.08%,11.51%,12.69%,12.80%,12.01%,11.94%,11.92%
Operating Profit,2.75,2.56,0.46,3.82,4.90,5.90,3.00,7.96,6.88,7.32,6.76,8.71,8.12
OPM %,12.27%,12.31%,4.34%,16.22%,19.84%,19.65%,14.02%,23.87%,21.55%,21.68%,19.38%,22.75%,20.46%
Other Income,2.23,1.41,3.07,1.73,2.34,0.75,1.17,1.23,1.10,0.90,1.19,0.17,0.98
  └─ Other income normal,2.23,1.41,3.07,1.73,2.34,0.75,1.17,1.23,1.10,0.90,1.19,0.17,0.98
Interest,0.08,0.11,0.06,0.05,0.04,0.03,0.05,0.04,0.01,0.05,0.02,0.00,0.01
Depreciation,1.17,1.08,1.08,1.09,1.06,1.03,1.06,1.05,1.05,0.97,0.80,0.82,0.96
Profit before tax,3.73,2.78,2.39,4.41,6.14,5.59,3.06,8.10,6.92,7.20,7.13,8.06,8.13
Tax %,28.42%,-1.44%,7.11%,23.81%,28.50%,41.50%,23.86%,30.86%,28.18%,-9.17%,19.92%,25.68%,7.01%
Net Profit,2.67,2.83,2.23,3.37,4.39,3.28,2.34,5.59,4.96,7.85,5.70,5.99,7.57
  └─ Profit excl Excep,3,3,2,3,4,3,2,6,5,8,6,6,8
  └─ Profit for PE,3,3,2,3,4,3,2,6,5,8,6,6,8
  └─ Profit for EPS,3,3,2,3,4,3,2,6,5,8,6,6,8
  └─ YOY Profit Growth %,-53%,-36%,-18%,-8%,64%,16%,5%,66%,13%,139%,144%,7%,53%
EPS in Rs,2.03,2.15,1.69,2.56,3.34,3.02,2.16,5.15,4.57,7.24,5.25,5.52,6.98
Raw PDF,,,,,,,,,,,,,
