Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,0.06,0.02,0.04,0.02,0.06,0.02,0.05,0.04,0.04,0.01,0.02,0.02,0.02
Operating Profit,-0.06,-0.02,-0.04,-0.02,-0.06,-0.02,-0.05,-0.04,-0.04,-0.01,-0.02,-0.02,-0.02
OPM %,,,,,,,,,,,,,
Other Income,0.06,0.02,0.10,0.04,0.09,0.04,0.06,0.05,0.04,0.01,0.00,0.00,0.00
  └─ Other income normal,0.06,0.02,0.10,0.04,0.09,0.04,0.06,0.05,0.04,0.01,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,0.00,0.06,0.01,0.03,0.01,0.02,0.01,0.00,0.00,-0.01,0.00,0.00
Profit before tax,0.00,0.00,0.00,0.01,0.00,0.01,-0.01,0.00,0.00,0.00,-0.01,-0.02,-0.02
Tax %,,,,0.00%,,0.00%,0.00%,,,,0.00%,0.00%,0.00%
Net Profit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.02,-0.02
  └─ Profit excl Excep,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.02,-0.02
  └─ Profit for PE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.02,-0.02
  └─ Profit for EPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.02,-0.02
  └─ YOY Profit Growth %,,,100.00%,,,,,,,,,,
EPS in Rs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.06,-0.06
Raw PDF,,,,,,,,,,,,,
