Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,126,140,127,128,131,137,143,157,155,161,176,178,185
  └─ YOY Sales Growth %,1.86%,16.36%,6.95%,0.60%,3.95%,-1.83%,12.36%,22.09%,18.34%,17.77%,23.35%,13.99%,19.39%
Expenses,162,165,253,133,129,134,126,143,114,132,136,134,140
  └─ Material Cost %,0.21%,0.57%,0.40%,1.02%,0.49%,0.02%,0.18%,0.01%,0.00%,0.04%,1.02%,0.11%,0.11%
  └─ Employee Cost %,67.30%,61.62%,63.64%,57.30%,50.79%,55.32%,54.09%,47.34%,47.00%,48.18%,47.16%,45.19%,43.07%
Operating Profit,-36,-25,-127,-4,2,3,17,14,42,29,39,45,45
OPM %,-28%,-18%,-100%,-3%,2%,3%,12%,9%,27%,18%,22%,25%,24%
Other Income,2,0,2,1,1,1,1,1,2,4,1,-20,1
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.50,0.00
  └─ Other income normal,2.07,0.40,1.90,0.62,1.20,1.27,0.91,0.97,2.46,3.52,1.31,1.52,1.00
Interest,3,2,2,2,1,1,1,1,1,1,1,1,1
Depreciation,20,22,21,21,23,22,23,23,35,22,23,23,23
Profit before tax,-57,-48,-148,-27,-21,-18,-7,-9,7,9,17,1,22
Tax %,-20%,-3%,-1%,-2%,10%,7%,46%,11%,31%,88%,25%,-306%,-14%
Net Profit,-45,-47,-146,-26,-23,-20,-10,-10,5,1,13,3,25
  └─ Minority share,-0,0,-0,-0,-0,-0,-0,-0,0,-0,0,0,-0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-22,0
  └─ Profit excl Excep,-45,-47,-146,-26,-23,-20,-10,-10,5,1,13,25,25
  └─ Profit for PE,-46,-47,-146,-26,-23,-20,-10,-10,5,1,13,25,25
  └─ Profit for EPS,-46,-47,-146,-26,-23,-20,-10,-10,5,1,13,3,25
  └─ YOY Profit Growth %,-73%,8%,-142%,48%,50%,58%,93%,61%,123%,105%,229%,343%,372%
EPS in Rs,-12.94,-13.27,-41.30,-7.45,-6.50,-5.54,-2.62,-2.74,1.42,0.25,3.37,0.87,6.69
Raw PDF,,,,,,,,,,,,,
