Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,122,85,104,108,127,129,154,157,189
  └─ YOY Sales Growth %,,,,,4.46%,51.20%,48.02%,44.80%,49.03%
Expenses,91,67,81,85,91,96,114,121,151
  └─ Material Cost %,51.37%,48.76%,43.40%,44.49%,36.26%,43.23%,39.73%,42.57%,46.13%
  └─ Employee Cost %,6.26%,11.90%,12.33%,11.11%,11.94%,12.63%,11.99%,11.52%,10.11%
Operating Profit,31,18,23,23,36,33,40,36,38
OPM %,25%,22%,22%,22%,28%,26%,26%,23%,20%
Other Income,1,1,0,1,1,3,4,2,7
  └─ Other income normal,1.26,0.65,0.50,1.15,0.86,2.53,3.61,2.15,7.42
Interest,3,3,3,3,5,3,3,3,5
Depreciation,1,1,1,2,3,3,3,3,3
Profit before tax,28,15,19,20,29,30,37,32,37
Tax %,19%,21%,20%,22%,31%,28%,28%,28%,33%
Net Profit,23,12,15,15,20,21,27,23,25
  └─ Profit excl Excep,23.11,11.59,15.22,15.17,20.41,21.31,26.88,23.16,24.86
  └─ Profit for PE,23.11,11.59,15.22,15.17,20.41,21.31,26.88,23.16,24.86
  └─ Profit for EPS,23.11,11.59,15.22,15.17,20.41,21.31,26.88,23.16,24.86
  └─ YOY Profit Growth %,,,,,-11.68%,83.87%,76.61%,52.67%,21.80%
EPS in Rs,5.53,2.77,3.36,3.19,4.30,4.40,5.23,4.46,4.69
Raw PDF,,,,,,,,,
