Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales,13.55,17.73,62.50,9.71,-4.52,12.58,12.55,9.33,6.20,1.09,1.37,0.11,3.50
  └─ YOY Sales Growth %,-39.56%,-45.19%,195.79%,-32.57%,-133.36%,-29.05%,-79.92%,-3.91%,237.17%,-91.34%,-89.08%,-98.82%,-43.55%
Expenses,9.07,22.18,69.57,21.42,8.98,45.70,19.37,23.11,6.42,25.23,2.84,8.58,5.00
  └─ Material Cost %,59.26%,64.97%,86.83%,71.47%,,77.82%,50.20%,85.42%,-35.16%,1055.96%,-429.20%,1527.27%,-30.86%
  └─ Employee Cost %,4.13%,4.85%,0.99%,6.28%,,10.10%,4.30%,5.36%,10.32%,50.46%,39.42%,145.45%,24.57%
Operating Profit,4.48,-4.45,-7.07,-11.71,-13.50,-33.12,-6.82,-13.78,-0.22,-24.14,-1.47,-8.47,-1.50
OPM %,33.06%,-25.10%,-11.31%,-120.60%,,-263.28%,-54.34%,-147.70%,-3.55%,-2214.68%,-107.30%,-7700.00%,-42.86%
Other Income,0.29,1.84,12.07,1.52,14.36,10.61,2.59,1.16,1.74,1.02,1.07,0.97,0.02
  └─ Other income normal,0.29,1.84,12.07,1.52,14.36,10.61,2.59,1.16,1.74,1.02,1.07,0.97,0.02
Interest,3.64,3.37,2.89,3.19,2.81,6.48,1.27,2.76,1.91,-3.13,2.04,0.83,2.69
Depreciation,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.02,0.02,0.02
Profit before tax,1.10,-6.01,2.08,-13.41,-1.98,-29.05,-5.53,-15.41,-0.42,-20.02,-2.46,-8.35,-4.19
Tax %,7.27%,-3.66%,3.85%,0.00%,0.00%,-0.03%,0.36%,0.00%,0.00%,0.05%,0.41%,0.00%,0.00%
Net Profit,1.01,-5.80,1.99,-13.41,-1.98,-29.04,-5.55,-15.41,-0.43,-20.03,-2.47,-8.36,-4.19
  └─ Profit excl Excep,1,-6,2,-13,-2,-29,-6,-15,-0,-20,-2,-8,-4
  └─ Profit for PE,1,-6,2,-13,-2,-29,-6,-15,-0,-20,-2,-8,-4
  └─ Profit for EPS,1,-6,2,-13,-2,-29,-6,-15,-0,-20,-2,-8,-4
  └─ YOY Profit Growth %,-78%,-231%,120%,-1402%,-296%,-401%,-379%,-15%,78%,31%,56%,46%,-874%
EPS in Rs,0.01,-0.05,0.01,-0.08,-0.01,-0.15,-0.03,-0.06,-0.00,-0.04,-0.00,-0.02,-0.01
Raw PDF,,,,,,,,,,,,,
