Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,112,136,156,146,142,147,161,147,168,154,163,166,187
  └─ YOY Sales Growth %,9.62%,9.84%,10.94%,9.48%,26.70%,8.60%,3.35%,0.07%,18.03%,4.61%,1.33%,13.49%,11.36%
Expenses,96,115,125,117,124,125,133,123,141,130,138,143,162
  └─ Material Cost %,43.13%,47.08%,47.32%,45.81%,51.64%,47.69%,44.85%,46.84%,47.66%,45.03%,46.98%,45.67%,47.57%
  └─ Employee Cost %,20.50%,19.52%,15.99%,18.05%,17.58%,19.70%,17.27%,19.09%,16.42%,20.61%,18.58%,18.41%,17.33%
Operating Profit,17,21,31,30,18,23,28,24,27,24,25,24,25
OPM %,15%,15%,20%,20%,13%,15%,18%,16%,16%,15%,16%,14%,13%
Other Income,4,8,9,11,7,10,10,9,-7,15,7,15,-4
  └─ Other income normal,3.90,7.69,8.69,11.02,7.02,10.41,9.98,8.97,-6.88,15.27,7.23,15.15,-4.20
Interest,1,0,0,0,0,0,0,1,0,0,0,0,0
Depreciation,2,3,3,3,3,3,3,3,3,3,4,4,4
Profit before tax,17,25,37,38,22,29,35,29,16,35,29,35,17
Tax %,26%,25%,25%,26%,16%,20%,24%,28%,29%,22%,31%,18%,30%
Net Profit,13,19,28,28,19,24,26,21,12,28,20,29,12
  └─ Profit excl Excep,12.56,19.01,27.65,28.04,18.60,23.67,26.33,20.77,11.58,27.68,19.98,28.60,11.63
  └─ Profit for PE,12.56,19.01,27.65,28.04,18.60,23.67,26.33,20.77,11.58,27.68,19.98,28.60,11.63
  └─ Profit for EPS,12.56,19.01,27.65,28.04,18.60,23.67,26.33,20.77,11.58,27.68,19.98,28.60,11.63
  └─ YOY Profit Growth %,13.97%,26.65%,16.62%,29.75%,48.09%,24.51%,-4.77%,-25.93%,-37.74%,16.94%,-24.12%,37.70%,0.43%
EPS in Rs,6.27,9.49,13.80,14.00,9.29,11.82,13.15,10.37,5.78,13.82,9.98,14.28,5.81
Raw PDF,,,,,,,,,,,,,
