Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Jun 2024
Sales,53,48,60,68,72,91,
  └─ YOY Sales Growth %,,,40.58%,,,,
Expenses,45,40,51,60,59,80,
  └─ Material Cost %,83%,80%,83%,83%,75%,81%,
  └─ Employee Cost %,1%,1%,2%,3%,3%,3%,
Operating Profit,8,8,8,8,13,11,
OPM %,15%,17%,14%,12%,18%,12%,
Other Income,0,-0,0,1,0,0,
  └─ Exceptional items,0.00,-0.04,0.00,0.00,0.00,0.00,
  └─ Other income normal,0.06,0.01,0.26,0.86,0.12,0.47,
Interest,1,2,1,2,2,3,
Depreciation,0,1,1,2,3,4,
Profit before tax,6,6,6,5,8,4,
Tax %,25%,30%,25%,34%,25%,37%,
Net Profit,5,4,5,3,6,3,
  └─ Exceptional items AT,0.00,-0.02,0.00,0.00,0.00,0.00,
  └─ Profit excl Excep,4.68,4.19,4.79,3.31,5.85,2.80,
  └─ Profit for PE,4.68,4.19,4.79,3.31,5.85,2.80,
  └─ Profit for EPS,4.68,4.17,4.79,3.31,5.85,2.80,
EPS in Rs,3.56,3.17,2.64,1.82,3.22,1.54,
Raw PDF,,,,,,,
