Metric,Mar 2026
Sales,742.36
Expenses,733.98
  └─ Material Cost %,43%
  └─ Employee Cost %,53%
Operating Profit,8.38
OPM %,1.13%
Other Income,2.11
  └─ Other income normal,2.11
Interest,1.96
Depreciation,1.56
Profit before tax,6.97
Tax %,-21.81%
Net Profit,8.48
  └─ Profit excl Excep,8.48
  └─ Profit for PE,8.48
  └─ Profit for EPS,8.48
EPS in Rs,3.67
Raw PDF,
