Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,161,162,200,165,162,193,251,224,263,171,118,135,147
  └─ YOY Sales Growth %,-21.12%,-32.62%,-6.30%,45.78%,0.25%,19.03%,25.70%,35.85%,62.56%,-11.22%,-52.86%,-39.64%,-43.95%
Expenses,130,115,131,111,121,132,165,146,162,113,95,94,102
  └─ Material Cost %,46.93%,37.57%,35.45%,35.34%,35.47%,32.39%,35.69%,35.77%,29.29%,30.01%,30.24%,26.96%,26.51%
  └─ Employee Cost %,8.22%,9.65%,9.68%,10.21%,9.73%,11.78%,10.04%,10.46%,9.47%,12.75%,16.28%,15.57%,14.51%
Operating Profit,32,46,68,53,41,61,86,78,101,58,24,41,45
OPM %,20%,29%,34%,32%,25%,32%,34%,35%,38%,34%,20%,30%,31%
Other Income,3,2,5,0,2,5,2,11,3,0,7,7,8
  └─ Exceptional items,-0.35,-0.69,0.00,-1.83,-0.91,0.05,0.08,0.10,-0.05,0.00,0.00,0.00,0.00
  └─ Other income normal,3.58,2.45,4.66,2.05,2.79,4.78,2.19,10.77,3.48,0.11,7.40,7.38,7.67
Interest,11,10,11,9,9,9,9,9,10,8,9,8,5
Depreciation,10,11,10,11,11,11,11,11,12,12,12,12,12
Profit before tax,13,27,52,34,23,46,69,69,82,38,10,28,35
Tax %,20%,34%,37%,38%,32%,28%,34%,27%,29%,25%,36%,27%,28%
Net Profit,11,18,33,21,16,33,45,51,59,28,6,20,26
  └─ Exceptional items AT,-0,-1,0,-2,-1,0,0,0,-0,0,0,0,0
  └─ Profit excl Excep,11,19,33,23,16,33,45,50,59,28,6,20,26
  └─ Profit for PE,11,19,33,23,16,33,45,50,59,28,6,20,26
  └─ Profit for EPS,11,18,33,21,16,33,45,51,59,28,6,20,26
  └─ YOY Profit Growth %,-45%,-35%,36%,780%,49%,78%,37%,119%,259%,-14%,-86%,-60%,-57%
EPS in Rs,3.45,5.78,10.55,6.85,5.00,10.67,14.50,16.32,19.00,9.12,2.04,6.57,8.26
Raw PDF,,,,,,,,,,,,,
