Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,114,116,139,174,190,222,216
  └─ YOY Sales Growth %,,,,,66%,92%,55%
Expenses,74,86,93,96,98,121,138
  └─ Material Cost %,9.46%,13.64%,12.00%,10.52%,12.69%,10.92%,11.56%
  └─ Employee Cost %,20.94%,23.07%,20.65%,17.19%,17.47%,17.72%,21.34%
Operating Profit,40,30,46,79,92,101,78
OPM %,35%,26%,33%,45%,48%,45%,36%
Other Income,3,0,0,1,1,3,3
  └─ Other income normal,3.45,0.39,0.27,1.07,1.44,2.57,3.42
Interest,2,4,3,2,4,3,4
Depreciation,6,8,9,10,10,11,16
Profit before tax,35,18,34,69,79,89,61
Tax %,25%,26%,25%,25%,25%,25%,26%
Net Profit,27,13,25,51,59,67,45
  └─ Minority share,0,0,0,0,0,0,0
  └─ Profit excl Excep,27,13,25,51,59,67,45
  └─ Profit for PE,27,13,25,51,59,67,45
  └─ Profit for EPS,27,13,25,51,59,67,45
  └─ YOY Profit Growth %,,,,,121%,405%,78%
EPS in Rs,2.14,1.06,2.04,4.12,4.73,5.36,3.63
Raw PDF,,,,,,,
