Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,155.72,344.69,164.54,128.26,118.50,240.21,158.84,170.27
  └─ YOY Sales Growth %,,,,,-23.90%,-30.31%,-3.46%,32.75%
Expenses,147.98,328.76,159.97,122.04,113.93,230.82,153.72,163.32
  └─ Material Cost %,89%,90%,88%,85%,87%,91%,87%,88%
  └─ Employee Cost %,2%,2%,3%,4%,3%,2%,3%,2%
Operating Profit,7.74,15.93,4.57,6.22,4.57,9.39,5.12,6.95
OPM %,4.97%,4.62%,2.78%,4.85%,3.86%,3.91%,3.22%,4.08%
Other Income,1.51,2.90,2.40,8.09,3.85,1.90,2.85,0.83
  └─ Other income normal,1.51,2.90,2.40,8.09,3.85,1.90,2.85,0.83
Interest,3.59,6.66,3.70,2.73,3.54,3.06,2.56,2.32
Depreciation,2.33,4.67,1.99,2.51,2.20,2.37,2.29,2.02
Profit before tax,3.33,7.50,1.28,9.07,2.68,5.86,3.12,3.44
Tax %,31.23%,29.07%,25.78%,20.73%,27.99%,30.89%,12.50%,50.29%
Net Profit,2.29,5.32,0.95,7.19,1.92,4.05,2.73,1.72
  └─ Minority share,0,0,0,0,0,0,-0,-0
  └─ Profit excl Excep,2,5,1,7,2,4,3,2
  └─ Profit for PE,2,5,1,7,2,4,3,2
  └─ Profit for EPS,2,5,1,7,2,4,3,2
  └─ YOY Profit Growth %,,,,,-15%,-23%,179%,-77%
EPS in Rs,0.15,0.35,0.06,0.46,0.13,0.26,0.17,0.11
Raw PDF,,,,,,,,
