Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,40.71,36.80,57.02,53.54,59.39,62.83,73.02,60.51,72.94,72.16,73.26
  └─ YOY Sales Growth %,,,,,45.89%,70.73%,28.06%,13.02%,22.82%,14.85%,0.33%
Expenses,37.14,33.34,48.88,48.93,52.99,57.30,66.63,57.47,67.10,70.41,72.98
  └─ Material Cost %,78%,72%,72%,77%,69%,70%,67%,66%,67%,72%,76%
  └─ Employee Cost %,6%,6%,4%,5%,6%,6%,6%,9%,8%,8%,9%
Operating Profit,3.57,3.46,8.14,4.61,6.40,5.53,6.39,3.04,5.84,1.75,0.28
OPM %,8.77%,9.40%,14.28%,8.61%,10.78%,8.80%,8.75%,5.02%,8.01%,2.43%,0.38%
Other Income,1.16,0.29,0.46,0.32,0.97,0.45,0.19,0.96,0.63,0.88,2.04
  └─ Other income normal,1.16,0.29,0.46,0.32,0.97,0.45,0.19,0.96,0.63,0.88,2.04
Interest,0.02,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.10,0.02
Depreciation,0.23,0.28,0.28,0.37,0.28,0.50,0.59,0.33,0.43,0.65,0.70
Profit before tax,4.48,3.46,8.31,4.56,7.09,5.48,5.98,3.67,6.04,1.88,1.60
Tax %,16.74%,29.48%,23.59%,25.66%,24.40%,27.19%,30.77%,27.25%,23.18%,28.72%,21.88%
Net Profit,3.73,2.44,6.35,3.40,5.37,3.98,4.14,2.67,4.64,1.34,1.25
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,4,2,6,3,5,4,4,3,5,1,1
  └─ Profit for PE,4,2,6,3,5,4,4,3,5,1,1
  └─ Profit for EPS,4,2,6,3,5,4,4,3,5,1,1
  └─ YOY Profit Growth %,,,,,44%,63%,-34%,-19%,-11%,-66%,-68%
EPS in Rs,2.33,1.52,3.96,2.12,3.35,2.39,2.53,1.65,2.75,0.79,0.77
Raw PDF,,,,,,,,,,,
