Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,43.64,53.71,50.53,53.60,54.32,56.10,49.35,45.28,53.55,49.13,57.02,66.54
  └─ YOY Sales Growth %,,,,,24.47%,4.45%,-2.34%,-15.52%,-1.42%,-12.42%,15.54%,46.95%
Expenses,33.88,42.47,43.73,47.04,45.89,45.41,43.06,40.23,42.86,43.13,46.51,57.05
  └─ Material Cost %,47%,54%,59%,60%,57%,53%,53%,54%,51%,53%,52%,54%
  └─ Employee Cost %,6%,5%,6%,6%,6%,6%,7%,7%,7%,8%,7%,6%
Operating Profit,9.76,11.24,6.80,6.56,8.43,10.69,6.29,5.05,10.69,6.00,10.51,9.49
OPM %,22.36%,20.93%,13.46%,12.24%,15.52%,19.06%,12.75%,11.15%,19.96%,12.21%,18.43%,14.26%
Other Income,0.95,0.62,1.06,1.82,1.36,1.29,1.06,0.45,1.24,1.38,-0.84,2.54
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.23,0.48
  └─ Other income normal,0.95,0.62,1.06,1.82,1.36,1.29,1.06,0.45,1.24,1.38,1.39,2.06
Interest,0.18,0.17,0.81,1.12,0.54,0.55,1.03,0.28,0.62,0.47,1.45,1.56
Depreciation,1.23,2.02,1.94,3.08,2.23,2.50,3.17,3.53,2.64,3.21,3.55,5.12
Profit before tax,9.30,9.67,5.11,4.18,7.02,8.93,3.15,1.69,8.67,3.70,4.67,5.35
Tax %,27.10%,26.78%,24.85%,39.95%,28.21%,20.49%,35.24%,6.51%,28.84%,35.95%,51.82%,25.42%
Net Profit,6.78,7.08,3.84,2.51,5.04,7.10,2.04,1.58,6.17,2.37,2.25,3.99
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,-1,0
  └─ Profit excl Excep,7,7,4,3,5,7,2,2,6,2,3,4
  └─ Profit for PE,7,7,4,3,5,7,2,2,6,2,3,4
  └─ Profit for EPS,7,7,4,3,5,7,2,2,6,2,2,4
  └─ YOY Profit Growth %,,,,,-26%,0%,-47%,-37%,22%,-67%,63%,134%
EPS in Rs,7.89,8.23,4.47,2.92,5.86,8.26,2.37,1.84,7.18,2.76,2.62,4.64
Raw PDF,,,,,,,,,,,,
